INN,sales_2019,sales_2022,sales_2023,portfolio_share_2022,portfolio_share_2023,portfolio_share_change_2023,yoy_growth_2023,cagr_2019_2023,relative_growth_2023,cv_monthly,trend_slope_normalized,seasonality_strength,zero_month_ratio,lag12_acf,sku_count,brand_count,strength_count,pack_count,dosage_form_count,atc3_count,atc4_count,forecast_2024,forecast_growth_2024,forecast_2024_lower80,forecast_2024_upper80,action_segment,cluster_id,cluster_label,pc1,pc2
ACIDUM ACETYLSALICYLICUM*,23434163.21,23307464.42,22352905.15,0.1881868818552896,0.18289459875126762,-0.0052922831040219664,-0.040955088584449406,-0.01174019644088109,-0.027751159494793787,0.34049352086722434,-0.0004445740985337654,0.7507396440986803,0.0,0.645426098112757,59,20,8,12,1,2,2,24439800.920766506,0.09336127705827568,15868226.18264184,31520789.524724226,Defend,3,Mature Leaders,1.4624779756404231,3.91939642428183
IBUPROFENUM,12243392.0,12378710.68,13415092.14,0.09994699218586091,0.10976416164663878,0.009817169460777875,0.08372289221319784,0.023111523700199088,0.09692682130285346,0.24775163170418554,0.0023179715919065284,0.41201784204181435,0.0,0.029157035120755917,118,22,11,14,6,2,2,14741261.76753601,0.09885654259367693,9630405.592089329,19118446.669089172,Growth Leader,3,Mature Leaders,-1.3050299992161196,3.4145810022769383
PARACETAMOLUM,12137384.89,13740368.97,12015424.03,0.11094116225644235,0.0983118812541997,-0.012629281002242643,-0.12553847307638943,-0.002521612744119661,-0.11233454398673381,0.5077858253652935,-0.003381895334590438,0.355803710685626,0.0,0.17670449328190022,60,16,15,6,4,1,1,13703711.423941512,0.1405100136063624,9111315.927496847,17855175.056766916,Defend,4,At-Risk / Declining,2.497490658670251,1.7245722316387087
DICLOFENACUM,16766020.6,12199627.85,11767579.209999999,0.09850105886749436,0.09628398024525725,-0.0022170786222371064,-0.03541490325051189,-0.08469826893827892,-0.022210974160856267,0.14928306513150894,-0.007537629614031865,0.14419873516818915,0.0,0.5517932207139338,138,23,14,9,7,4,4,9829399.39620666,-0.16470505778676114,6286691.818865928,12657231.12036073,Defend,3,Mature Leaders,0.7800553526228744,2.498592374493626
BISOPROLOLUM,9245684.67,9854296.81,10102992.13,0.07956461312707763,0.0826640957586475,0.0030994826315698665,0.025237246735619667,0.022416228529962945,0.03844117582527529,0.1262500906762624,0.0013070267989826775,0.45535463378438,0.0,0.3062728212566088,59,10,3,7,1,1,1,7893186.53375257,-0.21872783506240645,5151082.44603722,10246693.925853774,Monitor,2,Niche / Volatile,-0.5570324627214259,0.40081374753797305
METFORMINUM,7412666.13,7781225.97,7740349.95,0.06282642444148376,0.06333262673463474,0.0005062022931509869,-0.005253159355298798,0.010872865491194483,0.007950769734356822,0.1396533617666888,0.0001700295689220186,0.23312990212107565,0.0,0.10996057489285646,89,12,3,7,1,1,1,4947256.450108895,-0.3608484781610042,3205524.625627264,6344611.313539973,Monitor,2,Niche / Volatile,-0.5917634117875978,-0.14581175918449388
CEFTRIAXONUM,15212701.02,6549086.64,4690157.7,0.05287800386918858,0.03837552679910461,-0.014502477070083973,-0.283845525671653,-0.2548473009470118,-0.2706415965819974,0.5575868441397639,-0.021499100346606723,0.3584804916401044,0.0,0.5097603984346106,76,24,6,7,1,1,1,3435652.9645165754,-0.2674760244167109,2449224.100237764,4730148.895258061,Defend,4,At-Risk / Declining,4.637954941487902,-0.9517993049720123
AMLODIPINUM,6111840.71,4998111.35,4670422.92,0.04035526873163116,0.03821405406679873,-0.0021412146648324276,-0.06556245090458013,-0.06503351033640825,-0.05235852181492451,0.1617803980502569,-0.0059890787624076606,0.5848976462344374,0.0,0.6528598309471302,65,11,2,6,1,1,1,3637218.8907679697,-0.22122279864797134,2398179.791421973,4770608.503025859,Defend,2,Niche / Volatile,0.8977184504533401,-1.2722832344982917
FLUCONAZOLUM,6121389.0200000005,4386058.53,4630222.32,0.03541349086806823,0.03788512713058077,0.0024716362625125457,0.055668155892119486,-0.06741598746403554,0.0688720849817751,0.18308091735526047,-0.006455638793896009,0.36983710840596384,0.0,0.3244045222332406,83,13,6,7,3,2,2,3890397.598832138,-0.1597816843420733,2546501.9001487545,5057244.916335192,Monitor,2,Niche / Volatile,-0.07495623837575541,-0.2630069404380251
PANTOPRAZOLUM,3899063.97,3829464.09,4421853.76,0.030919489708864004,0.03618022640658788,0.005260736697723874,0.15469257736269837,0.03195558006541588,0.167896506452354,0.17834130893191946,0.0017895936702397642,0.41907107516331166,0.0,0.05109867685984473,59,23,2,8,2,1,1,3524593.6812885003,-0.2029149147418886,2308786.8264817563,4585975.6515160585,Monitor,2,Niche / Volatile,-1.6771268095027794,-0.720389827019387
AZITHROMYCINUM,5707853.24,4714802.81,3976716.27,0.0380678062352892,0.032538049155963415,-0.005529757079325785,-0.15654664038855093,-0.08638556654087648,-0.1433427112988953,0.5579596525685456,-0.00912266090453976,0.3912316981222742,0.0,0.33150378472205744,85,23,13,8,4,2,2,4470564.043104552,0.12418481470003173,3006557.303490116,5867802.044925335,Market-led Growth,4,At-Risk / Declining,2.3562014612110658,0.3242806089359126
AMBROXOLUM,6973961.35,3674480.9699999997,3681389.46,0.029668139945224457,0.030121643858621476,0.0004535039133970187,0.0018801267597803317,-0.14762038056002424,0.015084055849435951,0.526853229110446,-0.013301621901852015,0.6664504243415641,0.0,0.5417049545317555,79,15,7,5,3,1,1,3743755.743841922,0.016940963329080017,2595689.51463935,4989944.914940616,Emerging Opportunity,4,At-Risk / Declining,1.9174756649310654,-1.138909582365627
ROSUVASTATINUM,1796778.1300000001,2805137.73,3494538.7,0.02264897258109062,0.028592804786149978,0.005943832205059358,0.2457636794896343,0.18092917054748647,0.2589676085792899,0.26853404553085947,0.013203438646193503,0.40344991004312647,0.0,0.5645391577548667,104,23,6,6,1,1,1,3264848.2081948253,-0.06572841554313735,2116316.265769094,4224573.221130031,Monitor,1,Growth / Emerging,-2.981104944314718,-0.39622630001488024
MELOXICAMUM,3596966.48,3095948.87,3483239.87,0.02499701184693291,0.0285003561775534,0.0035033443306204913,0.12509605819168446,-0.007999826697678403,0.13829998728134008,0.10521111529763312,-0.001027259574301334,0.19909864814252298,0.0,-0.33476839812599146,82,24,5,6,4,1,1,2453369.252512395,-0.2956645697465575,1594608.3961141587,3196983.075211479,Monitor,2,Niche / Volatile,-1.3733486808305002,-0.9552823858475326
PREGABALINUM,1132890.13,1729418.66,2647149.24,0.013963505389650325,0.021659345612376615,0.0076958402227262895,0.5306584236809382,0.23636772192933675,0.5438623527705938,0.3627748148615493,0.018637656648351694,0.0664858513255081,0.0,0.8761440228122596,83,20,6,10,2,1,1,3252347.337417616,0.2286225832199833,2108267.3128938293,4222776.937978624,Emerging Opportunity,1,Growth / Emerging,-5.158119485420777,0.5118821721175612
SILDENAFILUM,2741898.17,2110121.26,2585992.11,0.017037337614262665,0.021158949414340173,0.0041216118000775084,0.22551824817878008,-0.014528728006572345,0.2387221772684357,0.14856280694752252,-0.0019735836623737163,0.4502761390395691,0.0,0.18134114602163753,167,31,5,6,2,1,1,1898967.516806059,-0.265671573605049,1239281.4612451277,2458175.342123549,Monitor,2,Niche / Volatile,-1.788714972202792,-1.244372600025235
ACETYLCYSTEINUM,2327438.62,1999562.08,1974150.9,0.016144671343502455,0.016152778992575553,8.107649073097606e-06,-0.012708372625270137,-0.04032202555446074,0.0004955564643854826,0.5589743668498444,-0.0033159544424723963,0.6924331321828977,0.0,0.5478731161214198,61,16,5,7,3,1,1,2302473.667777857,0.16631087713601667,1570332.2475242126,3038831.7015451714,Emerging Opportunity,4,At-Risk / Declining,1.0121769258504376,-1.1212769435619618
ATORVASTATINUM,1706708.28,1524871.3900000001,1658471.52,0.012311969545181493,0.013569846118673526,0.0012578765734920332,0.08761403150202707,-0.007141905953009786,0.10081796059168269,0.12756717916877328,-0.0010846021674640611,0.43780821294341865,0.0,0.08063656271615596,85,17,5,10,1,1,1,1275292.7419434227,-0.23104332720562926,831899.6312366072,1665355.9883744789,Monitor,2,Niche / Volatile,-1.149663806826175,-0.9436232658161354
LEVOFLOXACINUM,3697866.37,2083551.16,1622837.53,0.016822807874798916,0.013278283824679866,-0.00354452405011905,-0.22111942286072783,-0.18608142968074337,-0.2079154937710722,0.604627854278186,-0.015747738117079624,0.27233762408133855,0.0,0.35739068285471,101,42,4,6,3,2,2,907786.3057536344,-0.44061787518949325,634483.5923060547,1226385.0661702591,At Risk,4,At-Risk / Declining,2.8306874600914904,-2.1887379396870457
CITICOLINUM,1180772.68,1090448.2,1285930.49,0.008804391712666322,0.010521663265348351,0.0017172715526820297,0.1792678368399343,0.02155745950738397,0.19247176592958992,0.1551135182537189,0.0013220379874933855,0.3003388783271732,0.0,-0.2094521016560891,77,20,6,7,3,1,1,750766.0625450885,-0.4161690166121743,496275.6828568097,986095.8597910061,Monitor,2,Niche / Volatile,-1.7353780797602036,-1.4523984778519048
