INN,month,sales
ACETYLCYSTEINUM,2019-01,366281.12
ACETYLCYSTEINUM,2019-02,223061.52
ACETYLCYSTEINUM,2019-03,225567.7
ACETYLCYSTEINUM,2019-04,184651.09
ACETYLCYSTEINUM,2019-05,143854.46
ACETYLCYSTEINUM,2019-06,91782.88
ACETYLCYSTEINUM,2019-07,82115.97
ACETYLCYSTEINUM,2019-08,88815.57
ACETYLCYSTEINUM,2019-09,170604.57
ACETYLCYSTEINUM,2019-10,249288.16
ACETYLCYSTEINUM,2019-11,232407.97
ACETYLCYSTEINUM,2019-12,269007.61
ACETYLCYSTEINUM,2020-01,290792.92
ACETYLCYSTEINUM,2020-02,265217.91
ACETYLCYSTEINUM,2020-03,317432.1
ACETYLCYSTEINUM,2020-04,94399.98
ACETYLCYSTEINUM,2020-05,45028.1
ACETYLCYSTEINUM,2020-06,32370.16
ACETYLCYSTEINUM,2020-07,43658.13
ACETYLCYSTEINUM,2020-08,96069.22
ACETYLCYSTEINUM,2020-09,192109.69
ACETYLCYSTEINUM,2020-10,314774.15
ACETYLCYSTEINUM,2020-11,324574.83
ACETYLCYSTEINUM,2020-12,256853.28
ACETYLCYSTEINUM,2021-01,164490.14
ACETYLCYSTEINUM,2021-02,153912.54
ACETYLCYSTEINUM,2021-03,291708.52
ACETYLCYSTEINUM,2021-04,228219.38999999998
ACETYLCYSTEINUM,2021-05,146781.45
ACETYLCYSTEINUM,2021-06,118107.36
ACETYLCYSTEINUM,2021-07,85981.78
ACETYLCYSTEINUM,2021-08,116675.06999999999
ACETYLCYSTEINUM,2021-09,262057.12999999998
ACETYLCYSTEINUM,2021-10,458776.13
ACETYLCYSTEINUM,2021-11,336089.83
ACETYLCYSTEINUM,2021-12,260583.87
ACETYLCYSTEINUM,2022-01,385444.95
ACETYLCYSTEINUM,2022-02,412120.52999999997
ACETYLCYSTEINUM,2022-03,149119.29
ACETYLCYSTEINUM,2022-04,52928.95
ACETYLCYSTEINUM,2022-05,40251.72
ACETYLCYSTEINUM,2022-06,31491.17
ACETYLCYSTEINUM,2022-07,40267.01
ACETYLCYSTEINUM,2022-08,54795.72
ACETYLCYSTEINUM,2022-09,137720.65
ACETYLCYSTEINUM,2022-10,193000.4
ACETYLCYSTEINUM,2022-11,187830.6
ACETYLCYSTEINUM,2022-12,314591.09
ACETYLCYSTEINUM,2023-01,256554.04
ACETYLCYSTEINUM,2023-02,219469.96000000002
ACETYLCYSTEINUM,2023-03,206609.14
ACETYLCYSTEINUM,2023-04,150549.18
ACETYLCYSTEINUM,2023-05,124130.11
ACETYLCYSTEINUM,2023-06,86652.42
ACETYLCYSTEINUM,2023-07,59250.79
ACETYLCYSTEINUM,2023-08,61712.97
ACETYLCYSTEINUM,2023-09,134449.22
ACETYLCYSTEINUM,2023-10,210299.55
ACETYLCYSTEINUM,2023-11,208467.24
ACETYLCYSTEINUM,2023-12,256006.28
ACIDUM ACETYLSALICYLICUM*,2019-01,1624307.64
ACIDUM ACETYLSALICYLICUM*,2019-02,1450926.6400000001
ACIDUM ACETYLSALICYLICUM*,2019-03,1529857.6
ACIDUM ACETYLSALICYLICUM*,2019-04,1336680.25
ACIDUM ACETYLSALICYLICUM*,2019-05,1387119.88
ACIDUM ACETYLSALICYLICUM*,2019-06,1940414.9
ACIDUM ACETYLSALICYLICUM*,2019-07,2707328.66
ACIDUM ACETYLSALICYLICUM*,2019-08,4055937.67
ACIDUM ACETYLSALICYLICUM*,2019-09,2554852.1
ACIDUM ACETYLSALICYLICUM*,2019-10,1714693.0
ACIDUM ACETYLSALICYLICUM*,2019-11,1539124.48
ACIDUM ACETYLSALICYLICUM*,2019-12,1592920.3900000001
ACIDUM ACETYLSALICYLICUM*,2020-01,1616359.4
ACIDUM ACETYLSALICYLICUM*,2020-02,1629246.17
ACIDUM ACETYLSALICYLICUM*,2020-03,2572591.88
ACIDUM ACETYLSALICYLICUM*,2020-04,1197481.18
ACIDUM ACETYLSALICYLICUM*,2020-05,1190124.53
ACIDUM ACETYLSALICYLICUM*,2020-06,1450436.79
ACIDUM ACETYLSALICYLICUM*,2020-07,2159737.25
ACIDUM ACETYLSALICYLICUM*,2020-08,3513268.24
ACIDUM ACETYLSALICYLICUM*,2020-09,2931654.37
ACIDUM ACETYLSALICYLICUM*,2020-10,2469984.84
ACIDUM ACETYLSALICYLICUM*,2020-11,2754144.6
ACIDUM ACETYLSALICYLICUM*,2020-12,2118142.23
ACIDUM ACETYLSALICYLICUM*,2021-01,1698299.3
ACIDUM ACETYLSALICYLICUM*,2021-02,1561511.41
ACIDUM ACETYLSALICYLICUM*,2021-03,2225273.13
ACIDUM ACETYLSALICYLICUM*,2021-04,2062184.75
ACIDUM ACETYLSALICYLICUM*,2021-05,1789952.09
ACIDUM ACETYLSALICYLICUM*,2021-06,1843999.77
ACIDUM ACETYLSALICYLICUM*,2021-07,3055104.0
ACIDUM ACETYLSALICYLICUM*,2021-08,4217280.43
ACIDUM ACETYLSALICYLICUM*,2021-09,2840527.96
ACIDUM ACETYLSALICYLICUM*,2021-10,2598086.0900000003
ACIDUM ACETYLSALICYLICUM*,2021-11,2389135.77
ACIDUM ACETYLSALICYLICUM*,2021-12,2055357.19
ACIDUM ACETYLSALICYLICUM*,2022-01,2186764.51
ACIDUM ACETYLSALICYLICUM*,2022-02,2637176.38
ACIDUM ACETYLSALICYLICUM*,2022-03,2020401.75
ACIDUM ACETYLSALICYLICUM*,2022-04,1247071.79
ACIDUM ACETYLSALICYLICUM*,2022-05,1430870.37
ACIDUM ACETYLSALICYLICUM*,2022-06,1624259.81
ACIDUM ACETYLSALICYLICUM*,2022-07,2214062.34
ACIDUM ACETYLSALICYLICUM*,2022-08,3171491.2600000002
ACIDUM ACETYLSALICYLICUM*,2022-09,2120885.15
ACIDUM ACETYLSALICYLICUM*,2022-10,1594847.04
ACIDUM ACETYLSALICYLICUM*,2022-11,1470589.71
ACIDUM ACETYLSALICYLICUM*,2022-12,1589044.31
ACIDUM ACETYLSALICYLICUM*,2023-01,1497159.7
ACIDUM ACETYLSALICYLICUM*,2023-02,1448578.78
ACIDUM ACETYLSALICYLICUM*,2023-03,1836577.59
ACIDUM ACETYLSALICYLICUM*,2023-04,1509081.24
ACIDUM ACETYLSALICYLICUM*,2023-05,1532510.8699999999
ACIDUM ACETYLSALICYLICUM*,2023-06,1666111.32
ACIDUM ACETYLSALICYLICUM*,2023-07,2310721.0500000003
ACIDUM ACETYLSALICYLICUM*,2023-08,3773618.45
ACIDUM ACETYLSALICYLICUM*,2023-09,2150809.48
ACIDUM ACETYLSALICYLICUM*,2023-10,1576390.78
ACIDUM ACETYLSALICYLICUM*,2023-11,1503210.16
ACIDUM ACETYLSALICYLICUM*,2023-12,1548135.73
AMBROXOLUM,2019-01,963625.88
AMBROXOLUM,2019-02,653507.78
AMBROXOLUM,2019-03,676692.55
AMBROXOLUM,2019-04,601390.69
AMBROXOLUM,2019-05,488356.62
AMBROXOLUM,2019-06,330539.7
AMBROXOLUM,2019-07,280371.98
AMBROXOLUM,2019-08,291949.8
AMBROXOLUM,2019-09,549262.66
AMBROXOLUM,2019-10,722061.52
AMBROXOLUM,2019-11,678112.47
AMBROXOLUM,2019-12,738089.7
AMBROXOLUM,2020-01,759118.08
AMBROXOLUM,2020-02,749782.9299999999
AMBROXOLUM,2020-03,814732.96
AMBROXOLUM,2020-04,278362.02
