Morion ID,ATC Code (1),ATC Code (2),ATC Code (3),ATC Code (4),ATC Code (5),Brand,INN,NFC (1),Description,strength_value,strength_unit,pack_size,form_category,market_level,market_name,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023
386946,N NERVOUS SYSTEM,N06 PSYCHOANALEPTICS,"N06B PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B X Other psychostimulants and nootropics,N06B X06 Citicoline,38213,CITICOLINUM,Parenteral Ordinary," sol.  for inj. 500 mg amp. 2 ml, contour cell wrap, pack, #10",500.0,mg,10.0,Parenteral,No sampled peer,No sampled peer,17.3,22.95,6.51,18.55,12.78
74519,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A05 Atorvastatin,34727,ATORVASTATINUM,Oral Solid Ordinary," tabs coated w/film 20 mg blister, #30",20.0,mg,30.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,184.97,136.48,0.0,1949.1499999999999,2007.9599999999998
410903,M MUSCULO-SCELETAL SYSTEM,M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A B Acetic acid derivatives and related substances,M01A B05 Diclofenac,3419,DICLOFENACUM,Parenteral Ordinary," sol.  for inj. 25 mg/ml amp. 3 ml, #5",25.0,mg,5.0,Parenteral,ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",21532.54,30196.500000000004,31485.04,26910.660000000003,28171.440000000006
299212,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B F Gabapentinoids,N02B F02 Pregabalin,4705,PREGABALINUM,Oral Solid Ordinary," caps. 150 mg blister, #84",150.0,mg,84.0,Oral solid,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,1.29,0.0,0.0,0.0,0.0
198282,C CARDIOVASCULAR SYSTEM,C08 CALCIUM CHANNEL BLOCKERS,C08C SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C A Dihydropyridine derivatives,C08C A01 Amlodipine,35222,AMLODIPINUM,Oral Solid Ordinary," tabs 5 mg blister, #60",5.0,mg,60.0,Oral solid,No sampled peer,No sampled peer,6.960000000000001,0.0,0.0,0.0,0.0
485156,N NERVOUS SYSTEM,N06 PSYCHOANALEPTICS,"N06B PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B X Other psychostimulants and nootropics,N06B X06 Citicoline,23481,CITICOLINUM,Parenteral Ordinary," sol.  for inj. 500 mg/4 ml amp. 4 ml, blister in the box, #5",500.0,mg,5.0,Parenteral,No sampled peer,No sampled peer,30.259999999999998,24.499999999999996,8.280000000000001,0.0,0.0
85813,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J01 ANTIBACTERIALS FOR SYSTEMIC USE,"J01F MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01F A Macrolides,J01F A10 Azithromycin,45901,AZITHROMYCINUM,Oral Solid Ordinary," tablets coated 250 mg, #6",250.0,mg,6.0,Oral solid,No sampled peer,No sampled peer,0.67,0.0,0.0,0.0,0.0
171324,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A05 Atorvastatin,15766,ATORVASTATINUM,Oral Solid Ordinary," tabs coated w/film 20 mg blister, #30",20.0,mg,30.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,3.62,0.0,0.0,0.0,0.0
327027,A ALIMENTARY TRACT AND METABOLISM,A10 DRUGS USED IN DIABETS,"A10B BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10B A Biguanides,A10B A02 Metformin,49947,METFORMINUM,Oral Solid Ordinary," tabs coated w/film 850 mg blister, in box, #30",850.0,mg,30.0,Oral solid,No sampled peer,No sampled peer,66.07,0.0,0.0,0.0,0.0
299208,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B F Gabapentinoids,N02B F02 Pregabalin,4705,PREGABALINUM,Oral Solid Ordinary," caps. 75 mg blister, #84",75.0,mg,84.0,Oral solid,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,2.3800000000000003,26.89,0.98,0.0,0.0
190958,M MUSCULO-SCELETAL SYSTEM,M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A E Propionic acid derivatives,M01A E01 Ibuprofen,3654,IBUPROFENUM,Oral Liquid Ordinary," oral suspens. 100 mg/5 ml flask 200 ml, with orange taste, #1",100.0,mg,1.0,Oral liquid,ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",7.14,0.0,0.0,0.0,0.0
51878,G GENITO URINARY SYSTEM AND SEX HORMONES,G04 UROLOGICALS,G04B UROLOGICALS,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,42778,SILDENAFILUM,Oral Solid Ordinary," tabs coated w/film 50 mg blister, #4",50.0,mg,4.0,Oral solid,No sampled peer,No sampled peer,143.0,0.0,0.0,0.0,0.0
142227,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A07 Rosuvastatin,9998,ROSUVASTATINUM,Oral Solid Ordinary," tabs coated w/film 20 mg blister, #60",20.0,mg,60.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,37.31,28.78,0.0,0.0,0.0
171158,G GENITO URINARY SYSTEM AND SEX HORMONES,G04 UROLOGICALS,G04B UROLOGICALS,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,41144,SILDENAFILUM,Oral Solid Ordinary," tablets coated 50 mg blister, #4",50.0,mg,4.0,Oral solid,No sampled peer,No sampled peer,1267.6299999999999,511.87999999999994,174.35,123.3,12.26
118324,G GENITO URINARY SYSTEM AND SEX HORMONES,G04 UROLOGICALS,G04B UROLOGICALS,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,49343,SILDENAFILUM,Oral Solid Ordinary," tabs coated w/film 100 mg blister, #4",100.0,mg,4.0,Oral solid,No sampled peer,No sampled peer,1.27,0.0,0.0,0.0,0.0
126274,G GENITO URINARY SYSTEM AND SEX HORMONES,G04 UROLOGICALS,G04B UROLOGICALS,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,9045,SILDENAFILUM,Oral Solid Ordinary," tablets coated 25 mg, #1",25.0,mg,1.0,Oral solid,No sampled peer,No sampled peer,54.0,52.5,0.0,0.0,0.0
303612,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A07 Rosuvastatin,10638,ROSUVASTATINUM,Oral Solid Ordinary," tabs coated w/film 10 mg blister, #28",10.0,mg,28.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,13.54,0.0,0.0,0.0,0.0
230182,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J02 ANTIMYCOTICS FOR SYSTEMIC USE,J02A ANTIMYCOTICS FOR SYSTEMIC USE,J02A C Triazole and tetrazole derivatives,J02A C01 Fluconazole,4728,FLUCONAZOLUM,Oral Solid Ordinary," caps. 100 mg blister, in cardboard packing, #10",100.0,mg,10.0,Oral solid,No sampled peer,No sampled peer,118.76,231.79,80.37,0.0,0.0
33457,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B E Anilides,N02B E01 Paracetamol,24698,PARACETAMOLUM,Oral Liquid Ordinary," syrup 120 mg/5 ml flask 100 ml, #1",120.0,mg,1.0,Oral liquid,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,5.48,0.0,0.0,0.0,0.0
