ATC4,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023,contribution_2023,YoY,known_inn_count,eligible_competitive
-,484814.92,414945.55,383617.32,250652.4,257279.58,0.0003031182393022,0.0264397228991224,1,False
A01A B Antiinfectives and antiseptics for local oral treatment,2456952.25,2347332.62,1831294.29,1294409.05,1321935.22,0.00155746008431,0.0212654338286648,6,True
A01A D Other agents for local oral treatment,5006605.58,4752738.609999999,5066652.86,3605050.57,4093407.57,0.0048227165769042,0.1354646739393727,16,True
A02A B Aluminium compounds,978239.75,931609.25,717150.02,531138.0800000001,650038.65,0.0007658539051813,0.2238599988914369,2,False
"A02A D Combinations and complexes of aluminium, calcium and magnesium compounds",1627477.83,1475547.97,1486924.9,1316622.39,1325931.85,0.0015621687807745,0.0070707137222543,5,True
A02A F Antacids with antiflatulents,136706.77000000002,116383.06,133862.93,126210.41999999998,120111.47,0.000141511336836,-0.0483236645595505,2,False
"A02A X Antacids, other combinations",21.37,0.0,0.0,0.0,0.0,0.0,,1,False
A02B A H2-receptor antagonists,10310743.04,9242801.7,8120083.56,7145838.74,7032031.710000001,0.0082849057459316,-0.0159263361714204,2,False
A02B B Prostaglandins,3.01,3.52,4192.77,30713.67,45334.11,5.341113975518455e-05,0.4760238681994044,1,False
A02B C Proton pump inhibitors,12484746.2,13115683.4,14802489.79,11469889.73,12685820.04,0.014946011007287,0.1060106364248369,7,True
A02B D Combinations for eradication of Helicobacter pylori,88904.08,81300.98999999999,87860.07,63230.94000000001,71493.59,8.423136854544766e-05,0.130674160466379,2,False
A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,1397083.88,1321411.02,1442955.67,1233921.49,1375765.28,0.0016208808696235,0.1149536588425896,8,True
A02X OTHER DRUGS FOR ACID RELATED DISORDERS,1725348.52,1492854.57,1265866.99,971251.62,969208.62,0.0011418893423682,-0.0021034713949821,7,True
"A03A A Synthethic anthicholinergics, esters with tertiary amino group",1034976.36,1023768.07,1190388.93,1013830.99,1235090.29,0.0014551422778446,0.2182408134910138,2,False
"A03A B Synthetic anticholinergics, quaternary ammonium compounds",429944.92,196229.06,71303.11,77468.65000000001,89240.69,0.0001051404111702,0.1519587600919854,2,False
A03A D Papaverine and derivatives,10230268.61,9142796.66,8778688.96,7651791.28,7587431.56,0.0089392593663812,-0.0084110658073255,2,False
A03A X Other drugs for functional gastrointestinal disorders,2662479.49,2663089.11,2666313.33,2066793.24,2262930.23,0.0026661090902801,0.0948991830455183,10,True
"A03B A Belladonna alkaloids, tertiary amines",47422.95,36577.19,35510.119999999995,36325.72,18241.97,2.149208199035746e-05,-0.4978222042123321,1,False
"A03B B Belladonna alkaloids semisynthetic, quaternary ammonium compounds",67059.37,56593.780000000006,90273.99000000002,96576.09,70406.96,8.295113724075953e-05,-0.2709690359176894,1,False
A03D A Synthetic anticholinergic agents in combination with analgesics,8401640.45,8202044.62,8129238.79,6820836.659999999,7835907.65,0.0092320056267316,0.1488191318160081,3,True
A03D B Belladonna and derivatives in combinations with analgesics,324610.68000000005,277716.8,260718.94999999995,205088.18,208832.86,0.0002460399260277,0.0182588777178673,2,False
A03D C Other antispasmodics in combination with analgesics,29.28,56.73,16.89,0.0,0.0,0.0,,1,False
A03E D Antispasmodics in combination with other drugs,966442.81,952188.36,1017189.85,715527.63,685918.5900000001,0.0008081264564622,-0.0413807081076658,5,True
A03F A Propulsives,2070749.26,1852301.65,2075730.09,1576554.66,1769960.81,0.0020853089248715,0.122676463371083,4,True
A04A A Serotonin (5HT3) antagonists,310761.81,290042.49,378987.54,317135.86,458901.35,0.0005406622990656,0.447018164391753,3,True
A04A D Other antiemetics,1100296.3199999998,1082480.48,972747.37,775619.14,766280.3200000001,0.0009028059724381,-0.0120404713065744,2,False
A05A A Bile acids and derivatives,747351.75,772999.38,935891.56,715037.0900000001,895350.16,0.0010548717626878,0.2521730306325787,1,False
A05A X Other drugs for bile therapy,4662559.45,3903537.2,4072703.95,3207521.73,3228962.3,0.0038042559271489,0.0066844660160727,9,True
A05B A Liver therapy,7765545.71,7012730.56,7074392.66,5083958.21,5400991.07,0.0063632679423126,0.0623594543669547,15,True
A05C DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,643.45,0.0,0.0,0.0,0.0,0.0,,1,False
"A06A A Softeners, emollients",403740.57,428033.88,422746.39,352809.9,351182.93,0.0004137520413186,-0.0046114635672072,2,False
A06A B Contact laxatives,8993196.899999999,7978904.029999999,7458089.45,5755226.850000001,6197728.300000001,0.0073019572325554,0.076886882399779,8,True
A06A C Bulk-forming laxatives,95004.37,87615.01999999999,90917.15,62949.35,70348.27,8.288199063586904e-05,0.1175376711594322,2,False
A06A D Osmotically acting laxatives,2128527.97,2072605.26,2231434.23,1669839.95,1908338.06,0.0022483403958475,0.1428269278142495,7,True
A06A G Enemas,705332.12,609184.09,724011.99,530519.6799999999,603440.92,0.0007109540103934,0.1374524692467584,4,True
A06A X Other drugs for constipation,817291.4500000001,842610.37,856104.8699999999,478537.62,381770.01,0.0004497887210854,-0.2022152615712846,2,False
A07A A Antibiotics,548370.7100000001,554301.22,606424.0000000001,434752.69,456067.98,0.0005373241168216,0.0490285408009782,3,True
A07A B Sulfonamides,1260890.43,988333.78,898721.7600000001,807037.5999999999,719213.34,0.0008473532229161,-0.1088230089899155,1,False
A07A X Other intestinal antiinfectives,2527603.66,1840174.19,1976045.34,1563746.81,1674622.1800000002,0.0019729841237229,0.0709036586300055,1,False
A07B A Charcoal preparations,13498148.49,9619497.79,7226461.859999999,8819587.810000002,5468696.71,0.0064430364742249,-0.3799373816767976,1,False
A07B C Others intestinal adsorbents,5391296.51,4832230.91,5162074.5600000005,3514401.24,4054223.88,0.0047765516573168,0.1536030188744186,4,True
A07C A Oral rehydration salt formulations,118666.31000000004,106446.7,128681.5,106766.58,101276.0,0.0001193200128963,-0.0514260173923338,1,False
A07D A Antipropulsives,6486538.380000001,5634051.29,5963944.200000001,5625779.569999999,5900209.890000001,0.0069514309428311,0.0487808518953403,2,False
A07E A Corticosteroids acting locally,4340.209999999999,4517.19,4022.8,2629.7700000000004,4471.950000000001,5.268702670642428e-06,0.7005099305262437,1,False
A07E C Aminosalicylic acid and similar agents,168996.74,189631.16,221325.62,181035.53,187202.31,0.0002205555318479,0.0340639210435653,2,False
A07E F Microbial anti-inflammatory drugs,24649.550000000003,20240.390000000003,25839.43,14504.15,15655.720000000005,1.8445048306629117e-05,0.0793958970363655,0,False
A07F A Antidiarrheal microorganisms,4244855.8100000005,4464301.47,5148976.11,3197372.51,3647039.35,0.004296820394522,0.1406363626989464,0,False
A07X A Other antidiarrheals,17650.38,12401.7,21825.75,12088.61,22634.6,2.6667332476642867e-05,0.8723906222468918,1,False
A08A B Peripherally acting antiobesity products,774.02,53.08,0.0,21.09,9884.88,1.1646036662972508e-05,467.6998577524893,1,False
A08A X Other antiobesity drugs,22661.469999999998,18849.71,13966.46,9603.989999999998,15346.49,1.8080723811309896e-05,0.59792856927173,0,False
A09A A Enzyme preparations,14098324.27,12632916.64,13127003.34,10899204.7,11290275.27,0.0133018266007753,0.0358806519158227,3,True
"A10A B Insulins and analogues for injection, fast-acting",955030.78,972270.17,1021683.88,824916.34,697583.58,0.0008218697594879,-0.154358392270421,4,True
"A10A C Insulins and analogues for injection, intermediate-acting",1108394.25,1047334.09,1048959.73,790674.7000000001,592634.1,0.0006982217747031,-0.2504703894028733,1,False
"A10A D Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",667772.04,635674.89,597879.4600000001,464075.12,392442.26,0.00046236241088,-0.1543561740607856,4,True
"A10A E Insulin and analogues for injection, long-acting",240040.23,296072.24,410725.6,462730.89,497339.18,0.0005859484712219,0.0747913976523158,5,True
A10B A Biguanides,7412666.13,8509919.790000001,9144338.97,7781225.970000001,7740349.95,0.0091194227245993,-0.0052531593552989,1,False
A10B B Sulfonylureas,4188473.69,4353740.08,4351010.54,3551076.08,3357098.79,0.003955222075489,-0.0546249321698565,4,True
A10B D Combinations of oral blood glucose lowering drugs,832046.97,837778.68,959499.39,889825.99,1027363.49,0.0012104054749009,0.1545667372561234,10,True
A10B F Alpha glucosidase inhibitors,47179.65000000001,41374.58,39014.5,27492.090000000004,24143.28,2.844480904618072e-05,-0.1218099460608489,1,False
A10B G Thiazolidinediones,37934.24,35736.79,42922.47,37137.90000000001,42813.23,5.044112283004696e-05,0.1528177414447233,1,False
A10B H Dipeptidyl peptidase 4 (DPP-4) inhibitors,24858.03,47751.08,77442.87,82197.92,112789.81,0.0001328852006771,0.3721735294518402,3,True
A10B J Glucagon-like peptide-1 (GLP-1) analogues,6506.429999999999,13150.659999999998,24442.570000000003,45904.28,66633.81,7.850573747516856e-05,0.4515816390105671,1,False
A10B K Sodium-glucose cotransporter 2 inhibitors,117305.89,150311.72999999998,221020.76,320484.55,664098.46,0.0007824187054353,1.0721699688799355,2,False
"A10B X Other blood glucose lowering drugs, excl. insulins",11757.990000000002,12344.57,12264.81,9114.96,8686.599999999999,1.0234263043818132e-05,-0.046995269315499,1,False
A11A A Multivitamins with minerals,735050.9299999999,689797.5,540610.29,306859.73000000004,182129.81,0.0002145792811526,-0.4064721037198332,0,False
"A11A B Multivitamins, other combinations",536467.88,597991.65,539799.02,331173.36,293233.13,0.0003454775154355,-0.1145630493950358,3,True
"A11B A Multivitamins, plain",1593812.64,2059991.22,1498495.54,670611.16,713253.57,0.0008403316202337,0.0635873849758179,5,True
"A11C A Vitamin A , plain",561171.46,488901.92,467250.91,307976.27,389299.45,0.0004586596567257,0.2640566430653897,1,False
A11C C Vitamin D ans analogues,687866.65,804673.49,802474.0,552606.7100000001,574280.78,0.0006765985038483,0.0392215107196218,3,True
"A11D A Vitamin B1, plain",560168.67,450524.56,488068.64,307229.3,308176.0,0.0003630827075946,0.0030814118314888,4,True
A11D B Vitamin B1 in combinations with vitamin B6 and/or vitamin B12,2799806.54,2692365.75,3036050.92,2398462.41,2612086.1,0.0030774729169641,0.0890669326770896,3,True
"A11E A Vitamin B-complex, plain",32289.970000000005,3494.9,1827.13,1378.7999999999995,453.7600000000001,5.346049315915222e-07,-0.6709022338265157,3,True
A11E B Vitamin B-complex with vitamin C,104497.87,13555.71,0.0,0.0,0.0,0.0,,1,False
A11E C Vitamin B-complex with minerals,1875423.31,1998820.56,2230586.5300000003,1860484.91,2006202.77,0.0023636413403882,0.0783225164669569,4,True
"A11G A Ascorbic acid (Vit. C), plain",17570450.63,23991058.98,21094194.45,14389464.34,14464870.4,0.0170420289374828,0.0052403660218529,2,False
"A11G B Ascorbic acid (vitamin C), combinations",87832.83000000002,147468.0,198622.84,126365.15,99212.36,0.000116888700923,-0.2148756203747632,2,False
A11H A Other plain vitamin preparations,1988568.93,1742190.64,1662045.37,1193869.34,1338612.42,0.0015771086063594,0.1212386273358858,5,True
A11J A Combinations of vitamins,1193111.85,991970.7099999998,917435.33,690492.56,750407.23,0.0008841048260312,0.0867709132159222,1,False
A11J B Vitamins with minerals,4238.049999999999,4485.3,3930.56,2221.1,1352.7,1.5937061243032705e-06,-0.3909774436090225,2,False
"A11J C Vitamins, other combinations",1038469.57,947113.97,1100596.33,646157.94,700475.8200000001,0.0008252773004068,0.0840628531160665,2,False
A12A A Calcium,2102027.62,1670923.15,1610621.2299999995,1126643.55,1187234.82,0.0013987605556443,0.0537803371794034,1,False
"A12A X Calcium, combinations with vitamin D and/or other drugs",970646.12,1011898.7,1145227.61,841830.47,892771.04,0.0010518331293328,0.060511672854987,2,False
A12B A Potassium,40104.58,32818.69,28393.74,23683.74,27876.37,3.284301145290453e-05,0.1770256724655818,1,False
