feature,increase_log_RMSE,repeat_sd
log_lag1,4.868388839506516,0.01829215065142963
log_roll3,0.08400821941327215,0.0021284525604209794
log_roll12,0.061991237446713754,0.0008889949039020741
month_sin,0.014665833393172178,0.0001879449165078314
log_lag12,0.0076739664692512255,0.00029426447068480816
month_cos,0.0047711708365315575,0.00022803893545112562
ATC4,0.003631315497595322,0.00033731405741579566
dosage_form,0.0007342010381872951,0.00016432547413566332
INN,0.0005227422388812686,1.0470691931127449e-05
log_pack,0.0004648829444769964,7.13374485661451e-05
log_strength,4.320594926980152e-06,9.680346908364243e-05
