ATC1,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023,contribution_2023,YoY
A ALIMENTARY TRACT AND METABOLISM,206028708.29,197910546.38,195105594.29,153652216.28,157953874.79,0.18609599882476155,0.02799607200042664
B BLOOD AND BLOOD FORMING ORGANS,67175322.75,60487265.1,67209598.02,43860369.48,44280242.23,0.05216950781960768,0.009572941472630658
C CARDIOVASCULAR SYSTEM,165431033.07,157619793.92,159292487.48,134627991.19,130605522.22,0.1538750799363058,-0.029878399985357462
D DERMATOLOGICAL,93623230.26,91067861.22,79249333.0,68514199.39,66491542.9,0.07833812311237055,-0.029521712404264377
G GENITO URINARY SYSTEM AND SEX HORMONES,21907921.37,20763657.73,21987576.62,17777923.41,20128562.009999998,0.023714801913768867,0.13222233810939787
"H SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES",6887944.25,6950231.32,8515832.35,6370671.05,6084229.28,0.007168236464257617,-0.04496257423305505
J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,80333460.98,89820856.92,85816862.82000001,53500295.61,47582165.21,0.05605972359191766,-0.11061864859852877
L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,4108942.21,4143566.12,3579716.4499999997,2471704.12,2332682.38,0.0027482887521699776,-0.05624530010493334
M MUSCULO-SCELETAL SYSTEM,75852948.34,72632962.85,76722608.38,65047033.22,69457305.98,0.0818322864773654,0.06780128995405099
N NERVOUS SYSTEM,197420053.64000002,196348330.19,190469970.71,162882617.18,155676691.33,0.18341309705322015,-0.0442399930376659
"P ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",6345116.45,5242556.76,4964079.76,3733082.05,4388406.71,0.00517027474655176,0.17554520667446893
R RESPIRATORY SYSTEM,157194346.37,137390018.04,152003201.46,115093705.26,123508267.73,0.14551333088148813,0.07311053589760852
S SENSORY ORGANS,22243182.91,19607458.11,20051892.7,15746456.54,18553591.62,0.021859224212771377,0.17827090640165077
V VARIOUS,2747630.38,2909749.5300000003,3089142.12,1816820.47,1733223.47,0.002042026213443606,-0.046012801694159666
