INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,selected_model
ABACAVIRUM+LAMIVUDINUM,True,0.0,0.2428996650159566,0.0,1.5036385332474156,,Damped ETS
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,True,708320.15,610259.2391551272,412059.7841939247,731146.3179632045,-0.13844150959826973,Damped ETS
ABIRATERONE,True,545.4399999999999,671.5707571381321,0.0,1359.228165426299,0.2312458879769217,Damped ETS
ABROCITINIBUM,True,1.33,2.321280583959314,0.0,3.9980632787071544,0.74532374733783,Damped ETS
ACALABRUTINIBUM,True,2.29,2.2126139900789057,0.0,5.099705998328947,-0.03379301743279228,Damped ETS
ACECLOFENACUM,True,206030.8,144872.27313512124,63833.47020069574,201254.1751438254,-0.2968416705894398,Damped ETS
ACENOCOUMAROLUM,True,0.0,4099.854718808386,4093.5897042617166,4101.115457676618,,Damped ETS
ACETAZOLAMIDUM,True,84057.9,77107.12926441006,44044.34645144401,100110.21560323637,-0.08269027343759405,Damped ETS
ACETYLAMINONITROPROPOXYBENZENUM*,True,0.0,114.6166577237156,108.35164317704636,115.87739659194706,,Damped ETS
ACETYLCYSTEINUM,True,1974150.9000000001,1787337.7546615098,1234938.3454520337,2124260.7342313225,-0.0946296178972389,Damped ETS
ACETYLCYSTEINUM+AMBROXOLUM,True,1378227.52,1223123.53241868,837473.1407468775,1458341.885060068,-0.11253873930867386,Damped ETS
ACETYLCYSTEINUM+TUAMINOHEPTANUM,True,42510.42,73737.14670488075,57016.37704791849,85370.44781708757,0.7345664123026956,Damped ETS
ACHILLEA MILLEFOLIUM*&,True,89325.4,73478.32356975166,38343.65687118653,97922.90151483708,-0.17740840153246817,Damped ETS
