INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,share_change_12m,opportunity_probability,predicted_share_change_6m,action,supply_watch,reason
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,True,36139314.25,33655927.21349222,23543561.516961325,39823725.95507768,-0.0687170492314412,-0.0132291523823404,0.652023549572311,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ACIDUM ACETYLSALICYLICUM*,True,22352905.15,21244309.61988152,14989604.572270695,25059219.31355257,-0.0495951431225252,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
XYLOMETAZOLINUM,True,17561227.92,17296280.731171113,12382364.61260036,20293407.86857028,-0.0150870537092197,0.0024947818119023,0.2356961200541529,0.0,Monitor,False,常规跟踪销量与生命周期信号
NATRII CHLORIDUM*,True,15445526.819999998,12699167.31691797,8377258.647070536,15335213.486043064,-0.1778093771153108,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
ASCORBIC ACID,True,14461713.47,12031611.481124504,7984989.727445635,14499752.894223826,-0.1680369337918775,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
IBUPROFENUM,True,13415092.14,14432420.862271998,10678660.715250468,16721938.251754422,0.075834642927171,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
METAMIZOLUM NATRICUM,True,13005371.36,12577362.787137762,8938249.153112197,14796954.242392326,-0.0329101385123568,0.0014304091064556,0.548002607855392,0.0,Monitor,False,常规跟踪销量与生命周期信号
PARACETAMOLUM,True,12015424.03,12201916.286665916,8839805.955802485,14252556.116165437,0.0155210715993281,-0.0430684784247412,0.6320169605598078,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
DICLOFENACUM,True,11767579.21,11228812.423591634,7936053.089221748,13237153.249896748,-0.0457839948891548,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
PANCREATINUM*,True,11211805.08,10979450.401135052,7842205.673610017,12892938.76411154,-0.0207241097403156,0.0004328826530209,0.1785823812015836,0.0,Market-led Growth,False,销量增长且同类份额变化不超过0.2个百分点
OXYMETAZOLINUM,True,11129040.430000002,11700537.7586788,8586451.921268716,13599900.903324183,0.051351896174107,-0.0016939378361213,0.2888449517690727,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ENALAPRILUM,True,10444347.28,9185387.026088236,6262889.42620841,10967895.447931506,-0.1205398690947936,-0.0072871658415153,0.5073553512169658,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
MENTHOL SOLITION IN ISOVALERAT,True,10196528.72,9608246.57750314,6755092.626143367,11348460.477874976,-0.0576943544858526,-0.0252792471335863,0.5022062004094698,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
BISOPROLOLUM,True,10102992.13,9836047.336455291,7009066.4385614265,11560297.600713192,-0.0264223499444324,0.0042569958758797,0.3939446155810026,0.0,Monitor,False,常规跟踪销量与生命周期信号
SPIRITUS AETHYLICUS*,True,9317096.98,9663686.271025011,7056611.570048815,11253809.941633224,0.0371992791068933,0.0136084508870594,0.2175543584757917,0.0,Monitor,False,常规跟踪销量与生命周期信号
NAPHAZOLINUM,True,8770060.66,8272895.975692173,5818890.900743106,9769658.441304706,-0.0566888535418438,-0.0057401669695467,0.6173002198474152,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
METFORMINUM,True,7740349.95,7192507.243287124,5026631.909514717,8513531.774931109,-0.0707775113853704,-0.0171534180313241,0.4042273149370164,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
METAMIZOLUM NATRICUM+PITOFENONUM+FENPIVERINII BROMIDUM,True,7522164.920000001,7322543.831524339,5217720.204422558,8606331.315886311,-0.0265377176117088,0.0024227664262462,0.4884074715209258,0.0,Monitor,False,常规跟踪销量与生命周期信号
DROTAVERINUM,True,7204326.92,6797308.491678435,4781421.086941581,8026851.42665945,-0.0564963851364985,-0.0226711099366677,0.2478750763618526,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
HYDROGENII PEROXIDUM*,True,6704943.69,6547376.300497348,4671224.415077239,7691690.854102451,-0.0235001808796178,-0.0003732248992343,0.6916537579704811,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
CRATAEGUS L.*&,True,6532733.830000001,5304118.765829279,3476153.989572936,6419042.729716799,-0.1880705836396707,-0.0980796066532248,0.4311765128675394,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
OMEPRAZOLUM,True,6412586.57,6421031.520913861,4626685.89476511,7515450.277815253,0.0013169336307081,-0.0348998151950505,0.225371570713395,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
RANITIDINUM,True,6276118.119999999,5536768.352655713,3780608.810030635,6607896.409342004,-0.1178036730998118,-0.0195048313248459,0.5433955394624584,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
NIMESULIDUM,True,6156312.829999999,6326691.359209332,4604055.277944867,7377372.572001862,0.0276754177239126,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,True,6059001.92,5654255.82288391,3958848.910977084,6688329.246605275,-0.0668007870702391,-0.0047548953317112,0.4471792454174683,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
LOPERAMIDUM,True,5891246.01,5908769.568215012,4260303.478094098,6914212.545784745,0.0029745079708547,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
CARBO ACTIVATUS MEDICINALIS*,True,5468696.71,3887245.807909129,2357015.8585421355,4820573.442537684,-0.2891824114508027,-0.1407969416040592,0.5128615163338622,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
DECAMETOXINUM*,True,5272772.44,4644999.76522756,3169592.6011895896,5544889.536104949,-0.1190593149839099,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
AMLODIPINUM+INDAPAMIDUM+PERINDOPRILUM,True,5078501.819999999,5736205.272460832,4315158.175687607,6602939.403547324,0.1295073775243489,0.0357779509150248,0.4268916045259424,0.0,Invest,False,机会概率位于前20%，份额及预测销量增长，维持或评估增加商业支持
CAPTOPRILUM+HYDROCHLOROTHIAZIDUM,True,5078151.109999999,4997165.9668690935,3576217.0044364627,5863840.243231124,-0.0159477615724015,-0.0163651359526494,0.2096556498101315,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
ARGININUM,True,4994229.96,4340513.112657892,2943046.64777911,5192864.793970616,-0.130894422679349,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
VALERIANA OFFICINALIS*&,True,4965333.12,4614617.009234335,3225236.3484063083,5462036.945241798,-0.070632946932202,-0.046588025805736,0.4958599634197617,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
CEFTRIAXONUM,True,4690157.7,2754728.3957483075,1442346.276134617,3555184.889188753,-0.4126576179414378,-0.0272674706716176,0.597308997726948,0.0,Defend,False,已知INN规模位于前25%，但同类份额下降
