INN,month,point_forecast,P10_empirical,P90_empirical
ABACAVIRUM+LAMIVUDINUM,2024-01-01,0.0,0.0,0.40378335482083505
ABACAVIRUM+LAMIVUDINUM,2024-02-01,0.0,0.0,0.5201397881815064
ABACAVIRUM+LAMIVUDINUM,2024-03-01,0.2428996650159566,0.0,0.8838023667105247
ABACAVIRUM+LAMIVUDINUM,2024-04-01,0.0,0.0,0.81391653595685
ABACAVIRUM+LAMIVUDINUM,2024-05-01,0.0,0.0,0.7301507053722895
ABACAVIRUM+LAMIVUDINUM,2024-06-01,0.0,0.0,0.8559549606696814
ABACAVIRUM+LAMIVUDINUM,2024-07-01,0.0,0.0,0.8588870236209458
ABACAVIRUM+LAMIVUDINUM,2024-08-01,0.0,0.0,0.873037961401081
ABACAVIRUM+LAMIVUDINUM,2024-09-01,0.0,0.0,0.8528861112236882
ABACAVIRUM+LAMIVUDINUM,2024-10-01,0.0,0.0,0.8970014202413311
ABACAVIRUM+LAMIVUDINUM,2024-11-01,0.0,0.0,0.8869581062821691
ABACAVIRUM+LAMIVUDINUM,2024-12-01,0.0,0.0,0.9912858345304205
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,2024-01-01,64501.30221980566,53918.1032170569,73273.41856649688
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,2024-02-01,58462.330405478104,48692.03286555815,80310.7361147175
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,2024-03-01,59148.5180864973,30168.936918900316,73190.66390680759
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,2024-04-01,42725.68976379392,22435.455040626035,64131.639697420556
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,2024-05-01,38256.98583811244,19595.524857527464,55262.08923436883
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,2024-06-01,38924.6534300485,19353.024611265417,55082.79196631229
