split,origin,horizon,model,WAPE,Bias,RMSE,MASE,MASE_eligible,observations
validation,2020-12-01,3,Seasonal Naive,0.3023039887749035,0.2330918006028495,63303.77276212238,2.439310127152682,2471,8121
validation,2020-12-01,6,Seasonal Naive,0.2861098881904825,0.013441919779280652,51701.2366850065,4.269112153091914,2471,16242
validation,2020-12-01,12,Seasonal Naive,0.21658349252571477,-0.00483404690753445,41026.48585247759,7.567004141692102,2471,32484
validation,2020-12-01,3,Damped ETS,0.19403439880767506,0.088420672770642,43055.46122831339,2.0912497793283045,2471,8121
validation,2020-12-01,6,Damped ETS,0.2176781011461321,-0.033890540668289525,38191.38831285663,4.030350985725582,2471,16242
validation,2020-12-01,12,Damped ETS,0.1988975949729902,-0.04335726212336011,34079.00299566345,7.4664433621964585,2471,32484
validation,2020-12-01,3,Ridge ARX,0.2629816798064584,-0.10194752962575182,49644.947161764845,3.3616877170411366,2471,8121
validation,2020-12-01,6,Ridge ARX,0.36448383470947066,-0.2105578486709131,64888.773506835605,5.507119758937954,2471,16242
validation,2020-12-01,12,Ridge ARX,0.45703096253753944,-0.19359815055442128,95390.34140536608,8.931173076636032,2471,32484
validation,2020-12-01,3,Global Gradient Boosting,0.1739228768292615,0.09995636959755722,38788.3955572038,3.2873083515303807,2471,8121
validation,2020-12-01,6,Global Gradient Boosting,0.2521821981818359,-0.06857957405178057,47459.37475758877,6.827818539222669,2471,16242
validation,2020-12-01,12,Global Gradient Boosting,0.27292687219763373,-0.0593843626395397,61271.13576274232,11.96137260895122,2471,32484
validation,2021-06-01,3,Seasonal Naive,0.1369924048765567,-0.059356055549847395,20993.526642681067,3.884917391315141,2515,8121
validation,2021-06-01,6,Seasonal Naive,0.15115988857896087,-0.022031538519603818,26331.10723171409,9.023180035861502,2515,16242
validation,2021-06-01,12,Seasonal Naive,0.2600287572819385,0.05627209467971386,42583.71529152153,9.10511500422393,2515,32484
validation,2021-06-01,3,Damped ETS,0.08722294439820497,0.01668397161021242,13335.928764062905,3.5382223476494583,2515,8121
validation,2021-06-01,6,Damped ETS,0.12465914553385894,0.04474810922446768,21733.9647040748,8.778668574715887,2515,16242
validation,2021-06-01,12,Damped ETS,0.23763989722789716,0.12933244524199275,39247.9798766052,9.001398469638316,2515,32484
validation,2021-06-01,3,Ridge ARX,0.20688424527162944,-0.06023465587142165,49417.657095014016,5.886637597693632,2515,8121
validation,2021-06-01,6,Ridge ARX,0.31310061464136885,-0.10272819800772483,64207.49738765159,11.95803298471399,2515,16242
validation,2021-06-01,12,Ridge ARX,0.46808780629626195,-0.05058538471933228,100808.21836420949,11.967579597548076,2515,32484
validation,2021-06-01,3,Global Gradient Boosting,0.15484534696132102,0.005532895024143809,39037.34769237323,7.038549045705917,2515,8121
validation,2021-06-01,6,Global Gradient Boosting,0.18027055322795,0.003578481019666044,41242.36920780666,14.920541618888956,2515,16242
validation,2021-06-01,12,Global Gradient Boosting,0.2587424729604209,0.07601451937482255,51887.85656379353,17.92625299864735,2515,32484
validation,2021-12-01,3,Seasonal Naive,0.28773157544339534,-0.07248867539479349,53933.51761694888,1.6308604033633942,2592,8121
validation,2021-12-01,6,Seasonal Naive,0.39332774912740837,0.15214702649133674,54161.04142287797,1.7247523708631705,2592,16242
validation,2021-12-01,12,Seasonal Naive,0.4044183451485763,0.2638316265252473,53506.265792647406,2.339475257681013,2592,32484
validation,2021-12-01,3,Damped ETS,0.2368635861706222,-0.04412802256903419,47406.926476770874,1.388736112575033,2592,8121
validation,2021-12-01,6,Damped ETS,0.294733330412449,0.08936713419296037,42310.64774299526,1.4406862298376863,2592,16242
validation,2021-12-01,12,Damped ETS,0.31511379394645994,0.18431022607944486,42191.32618874822,2.134157813827241,2592,32484
