INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m,sales_2022,sales_2023,delta_sales,market_effect,share_effect,interaction,reconciliation_error,growth_type
ABACAVIRUM+LAMIVUDINUM,ATC4,"J05A R Antivirals for treatment of HIVinfections, combinations",0.23,0.0,-1.0,0.0,nan,,,,0.0,0.0,0.0,-0.0,,,,Market-led Growth
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,ATC4,G04B X Other urologicals,3789755.96,4045568.3800000004,0.06750102716376505,0.18536703877892974,0.17508544744953736,-0.010281591329392381,0.0027859026734699532,-0.006682046167682892,702495.8400000001,708320.15,5824.3099999999395,47419.190778271935,-38964.7220188491,-2630.1587594228863,-1.2732925824820995e-11,Defend
ABIRATERONE,ATC3,L02B HORMONE ANTAGONISTS AND RELATED AGENTS,468431.09,468618.65,0.0004004004089481761,0.00020165185876112537,0.001163931482453803,0.0009622796236926777,0.00017697522160584653,-4.281439772478861e-05,94.46000000000001,545.4399999999999,450.9799999999999,0.0378218226292362,450.7616930111509,0.18048516621979638,0.0,Share-led Growth
ABROCITINIBUM,ATC4,"D11A H Agents for dermatitis, excluding corticosteroids",60753.27,141796.9,1.3339797182933526,0.0,9.379612671363056e-06,9.379612671363056e-06,1.9091402427020795e-06,1.9175613003257115e-05,0.0,1.33,1.33,0.0,0.569842141118741,0.7601578588812592,0.0,Share-led Growth
ACALABRUTINIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,6155.750000000001,4289.37,-0.3031929496811925,0.0,0.0005338779354543908,0.0005338779354543908,-0.0030077989832042375,0.0012126992860192719,0.0,2.29,2.29,-0.0,3.2864191011733666,-0.9964191011733664,0.0,Share-led Growth
ACENOCOUMAROLUM,ATC4,B01A A Vitamin K antagonists,399627.69,341548.69,-0.14533277211096163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,Market-led Growth
ACETAZOLAMIDUM,ATC4,S01E C Carbonic anhydrase inhibitors,513443.62999999995,560271.33,0.09120319595746085,0.15645592876476044,0.15003070030372606,-0.006425228461034382,0.004180114485797304,-0.01567154308987062,80331.3,84057.9,3726.5999999999913,7326.471295417575,-3298.9926246128066,-300.8786708047798,2.7284841053187847e-12,Defend
ACETYLAMINONITROPROPOXYBENZENUM*,ATC4,R02A A Antiseptics,18484720.71,17863042.12,-0.03363202505211127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,Market-led Growth
ACETYLCYSTEINUM,ATC4,R05C B Mucolytics,10160495.080000002,9664395.7,-0.04882629990900034,0.19679770171199173,0.20427049567103303,0.007472793959041296,0.018759448987268945,-0.004747277941436118,1999562.0799999998,1974150.9000000001,-25411.179999999702,-97631.21780474456,75927.28625469282,-3707.2484499481525,1.8917489796876907e-10,Share-led Growth
ACETYLCYSTEINUM+AMBROXOLUM,ATC4,R05C B Mucolytics,10160495.080000002,9664395.7,-0.04882629990900034,0.16596337941438183,0.14260876342221793,-0.023354615992163902,0.00814942996508769,-0.011986831653115121,1686270.1,1378227.52,-308042.5800000001,-82334.32963018003,-237294.4608836707,11586.21051385066,0.0,Structural Decline
