ATC4,INN,sales_2022,sales_2023,peer_share_2023,peer_share_2022
-,UNKNOWN_SKU_-144109,2285.09,53833.84000000001,0.20924256794884388,0.009116569400492477
-,UNKNOWN_SKU_-173007,163.83,6172.33,0.023990749673953916,0.0006536143280495221
-,UNKNOWN_SKU_144108,0.0,0.0,0.0,0.0
-,UNKNOWN_SKU_144109,40613.60999999999,33481.72,0.13013749478291284,0.16203160233055816
-,UNKNOWN_SKU_173007,19184.850000000002,17421.56,0.06771450730757568,0.07653966209778963
-,UNKNOWN_SKU_184465,0.0,0.0,0.0,0.0
-,UNKNOWN_SKU_40701,122815.54,90230.01000000001,0.350708011883415,0.48998349906085087
-,UNKNOWN_SKU_895627,0.0,194.64,0.0007565310857550374,0.0
-,UNKNOWN_SKU_93034,36028.5,27247.420000000002,0.10590587873316648,0.14373889896924988
-,UNKNOWN_SKU_94678,2643.0600000000004,3186.55,0.012385553490098206,0.010544722492184399
-,UNKNOWN_SKU_94679,12657.53,12970.929999999998,0.050415699528116455,0.05049833953315429
-,VACCINIUM MYRTILLUS *&,14260.39,12540.58,0.0487430055661627,0.0568930917876709
A01A B Antiinfectives and antiseptics for local oral treatment,CHLORHEXIDINUM,344768.97,324309.06,0.24532901090266734,0.266352410005168
A01A B Antiinfectives and antiseptics for local oral treatment,CHLORHEXIDINUM+METRONIDAZOLUM,556748.56,629456.15,0.4761626292096219,0.4301179445554712
A01A B Antiinfectives and antiseptics for local oral treatment,CLOTRIMAZOLUM,54984.270000000004,61365.30000000001,0.046420807216256785,0.04247827995331152
A01A B Antiinfectives and antiseptics for local oral treatment,HEXETIDINUM,221440.86000000002,213555.42,0.16154756811759655,0.17107487003432187
A01A B Antiinfectives and antiseptics for local oral treatment,PROPOLIS*,102530.15,85320.29,0.06454195993053274,0.07921000706847654
A01A B Antiinfectives and antiseptics for local oral treatment,VITAMIN C+CHLORHEXIDINUM,13936.239999999998,7929.0,0.005998024623324582,0.01076648838325103
A01A D Other agents for local oral treatment,ACORUS*&+ARNICA*&+BENZOCAINUM+QUERCUS*&+MENTHA*&+MATRICARIA*&+THYMUS*&+SALVIA*&,22997.379999999997,29053.71,0.007097683165715159,0.006379211484958447
A01A D Other agents for local oral treatment,ACORUS+ARNICA+QUERCUS+MENTHA+MATRICARIA+THYMUS+SALVIA*&,72689.51000000001,104050.15,0.025418956754408892,0.02016324281409456
A01A D Other agents for local oral treatment,ACORUS+URTICA+CALENDULA+MATRICARIA+SOPHORA+CHELIDONIUM+ROSA L.*&,57673.76,65930.49,0.01610650512379836,0.01599804465433615
A01A D Other agents for local oral treatment,BENZYDAMINUM,1958382.4000000001,2371463.8499999996,0.5793373392329949,0.5432329899327876
A01A D Other agents for local oral treatment,BENZYDAMINUM+CHLORHEXIDINUM,57861.54999999999,136863.48,0.033435097204356806,0.016050135463148298
A01A D Other agents for local oral treatment,CALENDULA OFFICINALIS*&+MATRICARIA CHAMOMILLA*&+ACHILLEA MILLEFOLIUM*&,319867.16,358100.25999999995,0.08748219029653084,0.08872750986125555
A01A D Other agents for local oral treatment,CAMPHORA*+MENTHA PIPERITA+VALERIANA,75214.18,45813.979999999996,0.011192137410348316,0.020863557539499367
A01A D Other agents for local oral treatment,CAPSICUM ANNUUM*&,12592.96,2337.34,0.0005710010449802339,0.0034931437868845204
A01A D Other agents for local oral treatment,CHOLINI SALICYLAS+CETALKONII CHLORIDUM,133772.52000000002,174658.44999999998,0.04266822861228059,0.03710697461866672
A01A D Other agents for local oral treatment,EUCALYPTUS VIMINALIS*&,167825.91,139102.18000000002,0.03398200096649551,0.04655299745212728
A01A D Other agents for local oral treatment,HYPERICUM PERFORATUM*&,139390.06,158708.38000000003,0.03877170237411762,0.038665216282943844
A01A D Other agents for local oral treatment,LIDOCAINUM+MATRICARIA CHAMOMILLA,4457.74,7124.469999999999,0.0017404741350981572,0.0012365263436512623
