INN,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment
ABACAVIRUM+LAMIVUDINUM,0.9833333333333333,0.020833333333333332,7.681145747868606,60.0,0.0,26,33,0,0.18644067796610075,0.0,-0.021276595744680916,Potential discontinued
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,0.0,65830.44183333333,0.18299208208035658,1.0,0.03348610210410396,0,0,0,0.7749791753134789,0.5564931597233798,0.776260761769891,Seasonal
ABIRATERONE,0.25,12.680166666666667,1.5383411682184054,1.3333333333333333,1.5248701623766765,0,0,15,0.04649094600579029,0.6856906313820486,0.23146185113491577,Lumpy / volatile
ABROCITINIBUM,0.9166666666666666,0.022166666666666668,3.7681927215118467,12.0,0.26660636553790484,55,0,0,0.13338912412533477,0.1754061177263787,,Launch / lifecycle
ACALABRUTINIBUM,0.9333333333333333,0.03816666666666667,5.78450008711163,15.0,1.2973627505196315,52,3,1,0.1828232633746565,0.08847242206067607,,Launch / lifecycle
ACECLOFENACUM,0.0,27574.380666666668,0.25919742543821334,1.0,0.06718330535379816,0,0,0,0.03336625951574301,0.4133985188989737,0.15045613653349824,Stable
ACENOCOUMAROLUM,0.8333333333333334,579.6223333333332,2.853047784478934,6.0,0.5233136100866924,0,50,0,0.025626407761713654,0.4114232850999846,,Potential discontinued
ACETAZOLAMIDUM,0.0,7328.071166666667,0.12101381627307839,1.0,0.014644343728974373,0,0,0,0.36611224564324907,0.15927295821660303,0.09095178135670898,Stable
ACETYLAMINONITROPROPOXYBENZENUM*,0.8333333333333334,26.281666666666663,2.346046208338675,6.0,0.08398880194337875,0,50,0,0.04264898730861666,0.4251710808995287,,Potential discontinued
ACETYLCYSTEINUM,0.0,186630.25466666667,0.5589743668498444,1.0,0.31245234279518447,0,0,0,0.7334349828427752,0.050722858243179236,0.5478731161214198,Seasonal
ACETYLCYSTEINUM+AMBROXOLUM,0.0,125054.06349999999,0.713534341179532,1.0,0.5091312560425088,0,0,0,0.6709384432778155,0.08228933357510193,0.3499608795978056,Seasonal
ACETYLCYSTEINUM+TUAMINOHEPTANUM,0.0,5314.625333333334,0.6324696048108499,1.0,0.4000178010095926,0,0,0,0.3195653075280548,0.20985830116278104,0.051405957536590434,Stable
ACHILLEA MILLEFOLIUM*&,0.0,9377.845333333333,0.30299576130219563,1.0,0.09180643136709711,0,0,0,0.6495294481800791,0.6987471172561569,0.7460594597895286,Seasonal
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,0.0,6465.369666666667,0.18790564071419832,1.0,0.03530852981221339,0,0,0,0.16002246135766096,0.5813481557848732,0.31085748214031467,Stable
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,0.0,82.438,0.5215068079800032,1.0,0.2719693507694919,0,0,0,0.07566740099300406,0.23331109726788346,0.2051546953207657,Stable
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,0.7666666666666667,2.1645,2.699616386531424,4.285714285714286,0.9338500147000955,0,42,4,0.06851080149581823,0.4624672395952748,0.3928183612560585,Potential discontinued
ACHILLEA MILLEFOLIUM+CALENDULA+MATRICARIA CHAMOMILLA+MENTHA PIPERITA+TANACETUM VULG.,0.0,1228.4126666666666,0.5572655324825304,1.0,0.3105448736930382,0,0,0,0.4528507850453575,0.8585201479166342,0.8542464424166193,Stable
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,0.0,5291.769000000001,0.31560534254128125,1.0,0.09960673224059947,0,0,0,0.3823115649049035,0.16853308365687925,0.04756043349315833,Stable
ACICLOVIRUM,0.0,253876.78916666663,0.18189530192707104,1.0,0.03308590086314033,0,0,0,0.665983198061681,0.42699308212933984,0.5615520828833479,Seasonal
ACICLOVIRUM+HYDROCORTISONUM,0.05,1901.8573333333334,0.6945871950969431,1.0526315789473684,0.40832880301300684,0,1,2,0.05009176715742114,0.3876624639773869,-0.37048087946758684,Stable
ACIDUM ACETYLSALICYLICUM*,0.0,2050573.6025,0.34049352086722434,1.0,0.11593583775255895,0,0,0,0.6967870364024819,0.01297731553119974,0.645426098112757,Seasonal
ACIDUM ACETYLSALICYLICUM*+ACIDUM CITRICUM+NATRII HYDROCARBONAS*,0.8333333333333334,25.682166666666664,2.3158493369784163,6.0,0.060526358597228255,0,50,0,0.04684487075036747,0.4256216628934777,,Potential discontinued
ACIDUM ACETYLSALICYLICUM*+ATORVASTATINUM+RAMIPRILUM,0.0,4821.949,0.16424682679672462,1.0,0.02697702011279325,0,0,0,0.32026725680192014,0.25133265257520776,-0.010751205904451217,Stable
ACIDUM ACETYLSALICYLICUM*+BISOPROLOLUM,0.9333333333333333,3.3271666666666664,4.703281310179032,15.0,0.541390338845293,0,56,0,0.12685591054762535,0.1617690617140507,,Potential discontinued
ACIDUM ACETYLSALICYLICUM*+CLOPIDOGRELUM,0.0,694.3205,0.45466070383131996,1.0,0.20671635560839124,0,0,0,0.11006265436111184,0.23499346462035675,0.19399192963972275,Stable
