INN,market_level,market,peer_count_roster,n_atc4,n_atc3
ABACAVIRUM+LAMIVUDINUM,ATC4,"J05A R Antivirals for treatment of HIVinfections, combinations",4,1,1
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,ATC4,G04B X Other urologicals,12,1,1
ABIRATERONE,ATC3,L02B HORMONE ANTAGONISTS AND RELATED AGENTS,11,1,1
ABROCITINIBUM,ATC4,"D11A H Agents for dermatitis, excluding corticosteroids",3,1,1
ACALABRUTINIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,26,1,1
ACECLOFENACUM,Excluded,multiple_ATC3,0,2,2
ACENOCOUMAROLUM,ATC4,B01A A Vitamin K antagonists,3,1,1
ACETAZOLAMIDUM,ATC4,S01E C Carbonic anhydrase inhibitors,4,1,1
ACETYLAMINONITROPROPOXYBENZENUM*,ATC4,R02A A Antiseptics,46,1,1
ACETYLCYSTEINUM,ATC4,R05C B Mucolytics,11,1,1
ACETYLCYSTEINUM+AMBROXOLUM,ATC4,R05C B Mucolytics,11,1,1
ACETYLCYSTEINUM+TUAMINOHEPTANUM,ATC4,"R01A B Sympathomimetics, combinations excl. corticosteroids",10,1,1
ACHILLEA MILLEFOLIUM*&,ATC4,B02B X Other systemic hemostatics,5,1,1
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,ATC4,D03A X Other cicatrizants,20,1,1
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,ATC4,D01A C Imidazole and triazole derivatives,14,1,1
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,ATC4,A16A X Various alimentary tract and metabolism products,19,1,1
ACHILLEA MILLEFOLIUM+CALENDULA+MATRICARIA CHAMOMILLA+MENTHA PIPERITA+TANACETUM VULG.,ATC4,A05A X Other drugs for bile therapy,9,1,1
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,ATC4,A05A X Other drugs for bile therapy,9,1,1
ACICLOVIRUM,Excluded,multiple_ATC3,0,3,3
ACICLOVIRUM+HYDROCORTISONUM,ATC4,D06B B Antivirals,6,1,1
ACIDUM ACETYLSALICYLICUM*,Excluded,multiple_ATC3,0,2,2
ACIDUM ACETYLSALICYLICUM*+ACIDUM CITRICUM+NATRII HYDROCARBONAS*,ATC4,N02B A Salicylic acid and derivatives,7,1,1
ACIDUM ACETYLSALICYLICUM*+ATORVASTATINUM+RAMIPRILUM,ATC4,C10B X Lipid modifying agents in combination with other drugs,6,1,1
ACIDUM ACETYLSALICYLICUM*+BISOPROLOLUM,ATC4,"C07F X Beta blocking agents, other combinations",3,1,1
ACIDUM ACETYLSALICYLICUM*+CLOPIDOGRELUM,ATC4,B01A C Platelet aggregation inhibitors excl. heparin,11,1,1
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,51,2,1
ACIDUM ACETYLSALICYLICUM*+GLYCINUM,ATC4,N02B A Salicylic acid and derivatives,7,1,1
ACIDUM ACETYLSALICYLICUM*+ROSUVASTATINUM,ATC4,C10B X Lipid modifying agents in combination with other drugs,6,1,1
ACIDUM ACETYLSALICYLICUM*+VITAMIN C,ATC4,N02B A Salicylic acid and derivatives,7,1,1
ACIDUM ADENOSINTRIPHOSPHORICUM*,ATC4,C01E B Other cardiac preparations,16,1,1
ACIDUM ADENOSINTRIPHOSPHORICUM*+ACIDUM FOLICUM+MOLSIDOMINUM,ATC4,C01E X Other cardiac combination products,13,1,1
ACIDUM ADENOSINTRIPHOSPHORICUM*+COCARBOXYLASUM+CYANOCOBALAMINUM+NICOTINAMIDUM,ATC3,"A11J OTHER VITAMIN PRODUCTS, COMBINATIONS",5,1,1
ACIDUM ALENDRONICUM,ATC4,M05B A Bisphosphonates,6,1,1
ACIDUM ALENDRONICUM+COLECALCIFEROLUM,ATC3,M05B DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,9,1,1
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,8,1,1
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,8,1,1
ACIDUM AZELAICUM,ATC3,D10A ANTI-ACNE PREPARATIONS FOR TOPICAL USE,11,1,1
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,ATC4,D03A X Other cicatrizants,20,1,1
ACIDUM BORICUM*,ATC3,D08A ANTISEPTICS AND DISINFECTANTS,27,1,1
ACIDUM BORICUM*+BENZOCAINUM+CHLORAMPHENICOLUM+HYPPOPHAE RHAMNOIDES,ATC4,D03A X Other cicatrizants,20,1,1
ACIDUM BORICUM*+DEXTROSUM*+OSARSOLUM,ATC4,G01A X Other antiinfectives and antiseptics,12,1,1
ACIDUM BORICUM*+ZINCI SULFAS*,ATC4,S01A X Other antiinfectives,4,1,1
ACIDUM CITRICUM+KALII HYDROCARBONATIS+SODIUM CITRAS*,ATC4,G04B C Urinary concrement solvents,3,1,1
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,ATC4,A06A B Contact laxatives,8,1,1
ACIDUM CLODRONICUM,ATC4,M05B A Bisphosphonates,6,1,1
ACIDUM CROMOGLICICUM,Excluded,multiple_ATC3,0,2,2
ACIDUM ETACRYNICUM,ATC3,C03C HIGH-CEILING DIURETICS,3,1,1
ACIDUM FOLICUM+FERRI (III) HYDROXYDI POLYMALTOSUM COMPLEXUS*,ATC3,B03A IRON PREPARATIONS,12,1,1
ACIDUM FOLICUM+FERRI SULFAS*,ATC3,B03A IRON PREPARATIONS,12,1,1
ACIDUM FORMICUM*,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
ACIDUM FORMICUM*+SPIRITUS AETHYLICUS*,ATC4,M02A X Other topical products for joint and muscular pain,26,1,1
ACIDUM FUSIDICUM,Excluded,multiple_ATC3,0,2,2
ACIDUM FUSIDICUM+BETAMETHASONUM,ATC4,"D07C C Corticosteroids, potent, combinations with antibiotics",6,1,1
ACIDUM GADOPENTETICUM,ATC4,V08C A Paramagnetic contrast media,5,1,1
