INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m
ABACAVIRUM+LAMIVUDINUM,ATC4,"J05A R Antivirals for treatment of HIVinfections, combinations",0.23,0.0,-1.0,0.0,nan,,,
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,ATC4,G04B X Other urologicals,3789755.96,4045568.3800000004,0.06750102716376505,0.18536703877892974,0.17508544744953736,-0.010281591329392381,0.0027859026734699532,-0.006682046167682892
ABIRATERONE,ATC3,L02B HORMONE ANTAGONISTS AND RELATED AGENTS,468431.09,468618.65,0.0004004004089481761,0.00020165185876112537,0.001163931482453803,0.0009622796236926777,0.00017697522160584653,-4.281439772478861e-05
ABROCITINIBUM,ATC4,"D11A H Agents for dermatitis, excluding corticosteroids",60753.27,141796.9,1.3339797182933526,0.0,9.379612671363056e-06,9.379612671363056e-06,1.9091402427020795e-06,1.9175613003257115e-05
ACALABRUTINIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,6155.750000000001,4289.37,-0.3031929496811925,0.0,0.0005338779354543908,0.0005338779354543908,-0.0030077989832042375,0.0012126992860192719
ACENOCOUMAROLUM,ATC4,B01A A Vitamin K antagonists,399627.69,341548.69,-0.14533277211096163,0.0,0.0,0.0,0.0,0.0
ACETAZOLAMIDUM,ATC4,S01E C Carbonic anhydrase inhibitors,513443.62999999995,560271.33,0.09120319595746085,0.15645592876476044,0.15003070030372606,-0.006425228461034382,0.004180114485797304,-0.01567154308987062
ACETYLAMINONITROPROPOXYBENZENUM*,ATC4,R02A A Antiseptics,18484720.71,17863042.12,-0.03363202505211127,0.0,0.0,0.0,0.0,0.0
ACETYLCYSTEINUM,ATC4,R05C B Mucolytics,10160495.080000002,9664395.7,-0.04882629990900034,0.19679770171199173,0.20427049567103303,0.007472793959041296,0.018759448987268945,-0.004747277941436118
ACETYLCYSTEINUM+AMBROXOLUM,ATC4,R05C B Mucolytics,10160495.080000002,9664395.7,-0.04882629990900034,0.16596337941438183,0.14260876342221793,-0.023354615992163902,0.00814942996508769,-0.011986831653115121
ACETYLCYSTEINUM+TUAMINOHEPTANUM,ATC4,"R01A B Sympathomimetics, combinations excl. corticosteroids",2502961.68,2964978.73,0.18458814359475118,0.016456684226983452,0.014337512633690966,-0.002119171593292486,0.009735231211711805,0.011779518063805464
ACHILLEA MILLEFOLIUM*&,ATC4,B02B X Other systemic hemostatics,540483.02,520959.12999999995,-0.036123040461104705,0.14966531233488148,0.17146335452456704,0.021798042189685563,0.01797860052631009,-0.021853824447958164
