INN,sales_2019,sales_2022,sales_2023,known_inn,YoY,CAGR,portfolio_share_2023,sku_count,brand_count,strength_breadth,form_breadth,pack_breadth
ABACAVIRUM+LAMIVUDINUM,0.0,0.0,0.0,True,,,0.0,1,1,0,1,1
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,873188.8000000002,702495.8400000001,708320.15,True,0.008290881836396258,-0.050969084864505465,0.0008345192289660762,3,1,0,1,1
ABIRATERONE,0.1,94.46000000000001,545.4399999999999,True,4.77429599830616,7.593829754487043,6.426192566274679e-07,5,4,2,1,2
ABROCITINIBUM,0.0,0.0,1.33,True,,,1.5669617397230354e-09,2,2,2,1,1
ACALABRUTINIBUM,0.0,0.0,2.29,True,,,2.6980017924554516e-09,1,1,1,1,1
ACECLOFENACUM,361302.85000000003,314868.42999999993,206030.8,True,-0.34566066213751556,-0.13100917643090804,0.00024273863218385617,11,5,2,3,6
ACENOCOUMAROLUM,34777.34,0.0,0.0,True,,-1.0,0.0,1,1,1,1,1
ACETAZOLAMIDUM,92581.04999999999,80331.3,84057.9,True,0.04639038581474453,-0.023855507071021576,9.903422046726685e-05,2,2,1,1,2
ACETYLAMINONITROPROPOXYBENZENUM*,1576.8999999999999,0.0,0.0,True,,-1.0,0.0,1,1,1,1,1
ACETYLCYSTEINUM,2327438.62,1999562.0799999998,1974150.9000000001,True,-0.012708372625269915,-0.04032202555446074,0.0023258788937893203,61,16,3,3,7
ACETYLCYSTEINUM+AMBROXOLUM,912432.6699999999,1686270.1,1378227.52,True,-0.18267689144224286,0.10861314207383366,0.0016237817988521536,6,2,0,2,3
ACETYLCYSTEINUM+TUAMINOHEPTANUM,80651.29,41190.450000000004,42510.42,True,0.03204553482664041,-0.14793834886478108,5.0084362165080386e-05,1,1,0,1,1
ACHILLEA MILLEFOLIUM*&,143145.33000000002,80891.56,89325.4,True,0.10426106258798806,-0.11120941308283483,0.00010524021367327519,4,1,0,1,1
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,93555.52000000002,60806.340000000004,66555.99,True,0.09455675181239331,-0.08160516481161362,7.841405254089394e-05,2,1,0,1,0
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,1699.8500000000001,572.96,965.88,True,0.6857721306897513,-0.13178328340709466,1.1379676730554024e-06,1,1,0,1,1
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,126.30000000000001,0.0,0.0,True,,-1.0,0.0,2,1,0,1,1
ACHILLEA MILLEFOLIUM+CALENDULA+MATRICARIA CHAMOMILLA+MENTHA PIPERITA+TANACETUM VULG.,22825.88,7780.16,6411.19,True,-0.17595653559823965,-0.2720060343096202,7.553450703830771e-06,1,1,0,1,1
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,74825.1,63602.27,56597.56,True,-0.11013301883722071,-0.06741677196508589,6.668136171554802e-05,2,1,0,1,1
ACICLOVIRUM,3466419.6,2587819.0400000005,2839803.52,True,0.09737330010524992,-0.04862487856864872,0.0033457620031359394,40,10,4,4,7
ACICLOVIRUM+HYDROCORTISONUM,27104.940000000002,30186.479999999996,4557.74,True,-0.8490138631599312,-0.3596384102039786,5.36977759368817e-06,1,1,0,1,1
ACIDUM ACETYLSALICYLICUM*,23434163.21,23307464.419999998,22352905.150000002,True,-0.04095508858444907,-0.011740196440880979,0.02633544897872782,59,20,7,1,12
ACIDUM ACETYLSALICYLICUM*+ACIDUM CITRICUM+NATRII HYDROCARBONAS*,1540.9299999999998,0.0,0.0,True,,-1.0,0.0,1,1,0,1,1
ACIDUM ACETYLSALICYLICUM*+ATORVASTATINUM+RAMIPRILUM,52565.28999999999,58639.12,63299.93000000001,True,0.07948294585594051,0.047553087612409506,7.45778710053732e-05,3,1,0,1,1
ACIDUM ACETYLSALICYLICUM*+BISOPROLOLUM,199.63,0.0,0.0,True,,-1.0,0.0,2,1,0,1,1
ACIDUM ACETYLSALICYLICUM*+CLOPIDOGRELUM,10432.2,4770.45,4580.240000000001,True,-0.039872548711337275,-0.18599310668535318,5.3962863449240875e-06,1,1,0,1,1
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,53666634.24999999,39075452.8,36139314.25,True,-0.07514023100456557,-0.09412372178778272,0.04257813739065976,39,8,0,1,8
ACIDUM ACETYLSALICYLICUM*+GLYCINUM,1969.43,0.0,0.0,True,,-1.0,0.0,1,1,0,1,1
ACIDUM ACETYLSALICYLICUM*+ROSUVASTATINUM,0.0,29339.329999999994,55833.780000000006,True,0.9030352772200325,,6.578150153692724e-05,5,2,0,1,2
ACIDUM ACETYLSALICYLICUM*+VITAMIN C,336777.75,318687.52999999997,298761.6,True,-0.06252497548303815,-0.0295004320675869,0.0003519909748108553,3,2,0,1,2
ACIDUM ADENOSINTRIPHOSPHORICUM*,434772.57999999996,281253.33,270805.63,True,-0.03714693795803237,-0.1116197690921441,0.00031905418128691174,7,2,2,2,2
ACIDUM ADENOSINTRIPHOSPHORICUM*+ACIDUM FOLICUM+MOLSIDOMINUM,479532.24000000005,487728.73,561909.23,True,0.1520937673694145,0.04042813728478345,0.0006620227553437828,1,1,0,1,1
ACIDUM ADENOSINTRIPHOSPHORICUM*+COCARBOXYLASUM+CYANOCOBALAMINUM+NICOTINAMIDUM,428470.36000000004,297306.63,379866.61000000004,True,0.2776930336198693,-0.02965184561368983,0.0004475461985475878,1,1,0,1,1
ACIDUM ALENDRONICUM,57336.950000000004,41296.22,52891.130000000005,True,0.2807741241208035,-0.01997520282811993,6.231456923362198e-05,4,3,2,1,3
ACIDUM ALENDRONICUM+COLECALCIFEROLUM,0.0,3788.9400000000005,3459.6400000000003,True,-0.08691085105596819,,4.07603271670331e-06,1,1,0,1,1
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,471306.69000000006,557920.08,596321.01,True,0.06882872901796278,0.060581693660579194,0.0007025655693706748,11,3,0,2,4
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,66401.28,68483.37,47409.77999999999,True,-0.3077183555657381,-0.0807727883088124,5.585662507420026e-05,2,1,0,1,1
ACIDUM AZELAICUM,108376.92,115184.81000000003,166105.49,True,0.4420780830389004,0.11265825798665485,0.00019569996059244153,4,2,0,1,1
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,1706.49,1241.1599999999999,1926.13,True,0.5518788874923461,0.030731294294567224,2.269302267468218e-06,3,1,0,1,1
ACIDUM BORICUM*,4040680.66,1922952.56,1871579.6599999997,True,-0.02671563566810009,-0.17502944684831734,0.0022050328722284557,19,2,0,1,2
ACIDUM BORICUM*+BENZOCAINUM+CHLORAMPHENICOLUM+HYPPOPHAE RHAMNOIDES,51593.14,36209.0,39815.329999999994,True,0.09959761385290933,-0.0627302731261119,4.6909096815373495e-05,1,1,0,1,1
ACIDUM BORICUM*+DEXTROSUM*+OSARSOLUM,2007.6499999999999,0.0,0.0,True,,-1.0,0.0,1,1,0,1,1
ACIDUM BORICUM*+ZINCI SULFAS*,14007.150000000001,5055.849999999999,793.45,True,-0.843062986441449,-0.512143106239463,9.348163852505582e-07,1,1,0,1,0
ACIDUM CITRICUM+KALII HYDROCARBONATIS+SODIUM CITRAS*,31842.600000000002,28295.800000000003,42467.47,True,0.500840054000947,0.0746374391531941,5.003375990438783e-05,2,2,0,1,1
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,7535.76,93.19,0.0,True,-1.0,-1.0,0.0,2,2,0,1,1
ACIDUM CLODRONICUM,171.13,0.0,0.0,True,,-1.0,0.0,1,1,1,1,1
ACIDUM CROMOGLICICUM,265095.77,170745.61,175414.97,True,0.027346881714850557,-0.09808426477649113,0.00020666808012380754,6,4,0,2,1
ACIDUM ETACRYNICUM,33.870000000000005,0.0,0.0,True,,-1.0,0.0,1,1,1,1,1
ACIDUM FOLICUM+FERRI (III) HYDROXYDI POLYMALTOSUM COMPLEXUS*,21411.98,34418.77,67826.0,True,0.9706108033494516,0.3340891254539602,7.991033605898842e-05,2,2,0,1,1
ACIDUM FOLICUM+FERRI SULFAS*,155360.45,143706.82,112459.70999999999,True,-0.21743651414734533,-0.07761098497191532,0.00013249628784236693,1,1,0,1,1
ACIDUM FORMICUM*,913384.03,642696.5200000001,545459.0599999999,True,-0.1512960736118505,-0.12092245542789537,0.0006426417124851815,8,2,0,1,0
ACIDUM FORMICUM*+SPIRITUS AETHYLICUS*,252340.09999999998,38478.94,34312.57,True,-0.10827663132092524,-0.3927510895649692,4.042592810644243e-05,1,1,0,1,0
ACIDUM FUSIDICUM,61863.23,8072.26,12648.050000000001,True,0.5668536444564471,-0.3275689709974069,1.4901511603085667e-05,7,3,0,2,1
ACIDUM FUSIDICUM+BETAMETHASONUM,27228.969999999994,2.01,0.0,True,-1.0,-1.0,0.0,1,1,0,1,1
ACIDUM GADOPENTETICUM,83.64999999999999,0.0,0.0,True,,-1.0,0.0,5,2,0,1,1
ACIDUM GADOTERICUM,6375.2699999999995,4979.179999999999,5811.93,True,0.1672464140681802,-0.022863023240381253,6.847422514246993e-06,6,1,0,1,1
ACIDUM GADOXETICUM,0.0,0.7,1.69,True,1.4142857142857141,,1.9911017594976915e-09,1,1,0,1,1
ACIDUM GAMMA-AMINOBUTYRICUM*,206148.99,174787.61000000002,185138.67,True,0.05922078801809816,-0.02651563215637409,0.00021812421987459318,2,1,1,1,1
ACIDUM GAMMA-AMINOBUTYRICUM*+PIRACETAMUM,47367.979999999996,38.42,5.470000000000001,True,-0.857626236335242,-0.8963365602623273,6.444571967131582e-09,1,1,0,1,1
ACIDUM GLUTAMICUM,74256.36000000002,40636.29,40168.04,True,-0.01152295152928573,-0.14239610249250256,4.732464799974772e-05,2,1,1,1,2
ACIDUM GLUTAMICUM+GLYCINUM+PYRIDOXINUM,889.0999999999999,0.0,0.0,True,,-1.0,0.0,1,1,0,1,1
ACIDUM GLYCYRRHIZICUM,8362.43,4729.26,7276.959999999999,True,0.5387100730346817,-0.03416181150500075,8.57347210638717e-06,2,1,0,1,0
ACIDUM GLYCYRRHIZICUM+CYSTEINUM+GLYCINUM,14164.87,7296.379999999999,7568.33,True,0.037271907439031526,-0.14503789277278845,8.916754544058676e-06,1,1,0,1,1
ACIDUM GLYCYRRHIZICUM+PHOSPHOLIPIDES*,1216.64,0.0,0.0,True,,-1.0,0.0,1,1,0,1,1
ACIDUM HOPANTENICUM,226907.78999999998,133720.97,203003.5,True,0.5181126789612729,-0.027446435478878373,0.0002391719680675678,5,3,2,1,1
ACIDUM IBANDRONICUM,22166.730000000003,23036.79,28655.37,True,0.24389595946310227,0.06629186838764611,3.376080332902802e-05,15,6,3,2,4
ACIDUM LACTICUM+ACIDUM SALICYLICUM*,23.770000000000003,0.0,0.0,True,,-1.0,0.0,1,1,0,1,0
ACIDUM LACTICUM+ACIDUM SALICYLICUM*+POLIDOCANOLUM,306.48,220.49,0.0,True,-1.0,-1.0,0.0,1,1,0,1,1
ACIDUM MEFENAMICUM,1976310.03,2311546.31,2442727.7,True,0.056750491838513106,0.05439902491480919,0.00287794048606139,11,3,2,1,2
ACIDUM METHYLSILICICUM*,1074547.7699999998,684470.51,732495.8499999999,True,0.07016422080770113,-0.09135370451672375,0.0008630022341773708,12,2,3,2,2
ACIDUM MYCOPHENOLICUM,3717.8,5454.37,6713.370000000001,True,0.2308240915082771,0.15921406025007512,7.909469123762733e-06,3,3,2,1,2
