INN,market_level,market,peer_share,opportunity_probability,predicted_share_change_6m
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,ATC4,G04B X Other urologicals,0.17390433561291258,0.37290764309964547,0
ABIRATERONE,ATC3,L02B HORMONE ANTAGONISTS AND RELATED AGENTS,0.0018231501345312704,0.06642772678362298,0
ABROCITINIBUM,ATC4,"D11A H Agents for dermatitis, excluding corticosteroids",6.218794284617113e-06,0.07216035463054239,0
ACALABRUTINIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,0.0,0.06465589122456711,0
ACENOCOUMAROLUM,ATC4,B01A A Vitamin K antagonists,0.0,0.00994950080176779,0
ACETAZOLAMIDUM,ATC4,S01E C Carbonic anhydrase inhibitors,0.14335653171662546,0.23420964651731455,0
ACETYLAMINONITROPROPOXYBENZENUM*,ATC4,R02A A Antiseptics,0.0,0.010366888192690216,0
ACETYLCYSTEINUM,ATC4,R05C B Mucolytics,0.20820736215859936,0.27167493930363373,0
ACETYLCYSTEINUM+AMBROXOLUM,ATC4,R05C B Mucolytics,0.1395830369229945,0.2923191730851295,0
ACETYLCYSTEINUM+TUAMINOHEPTANUM,ATC4,"R01A B Sympathomimetics, combinations excl. corticosteroids",0.02628646863727109,0.27194729577057186,0
ACHILLEA MILLEFOLIUM*&,ATC4,B02B X Other systemic hemostatics,0.17542668805299644,0.242851290481396,0
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,ATC4,D03A X Other cicatrizants,0.0077153733105587655,0.06559107939309258,0
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,ATC4,D01A C Imidazole and triazole derivatives,0.0006487970769313893,0.031849855069293644,0
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,ATC4,A16A X Various alimentary tract and metabolism products,0.0,0.010368860477217084,0
ACHILLEA MILLEFOLIUM+CALENDULA+MATRICARIA CHAMOMILLA+MENTHA PIPERITA+TANACETUM VULG.,ATC4,A05A X Other drugs for bile therapy,0.0017973075056911508,0.03221795201868198,0
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,ATC4,A05A X Other drugs for bile therapy,0.015107233263682766,0.12510586596120588,0
ACICLOVIRUM+HYDROCORTISONUM,ATC4,D06B B Antivirals,0.0,0.1278073430626652,0
ACIDUM ACETYLSALICYLICUM*+ACIDUM CITRICUM+NATRII HYDROCARBONAS*,ATC4,N02B A Salicylic acid and derivatives,0.0,0.011152984618882858,0
ACIDUM ACETYLSALICYLICUM*+ATORVASTATINUM+RAMIPRILUM,ATC4,C10B X Lipid modifying agents in combination with other drugs,0.20539276545878885,0.4714955136269921,0
ACIDUM ACETYLSALICYLICUM*+BISOPROLOLUM,ATC4,"C07F X Beta blocking agents, other combinations",0.0,0.010340611889646464,0
ACIDUM ACETYLSALICYLICUM*+CLOPIDOGRELUM,ATC4,B01A C Platelet aggregation inhibitors excl. heparin,0.0003881460111736655,0.030707862023654373,0
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,0.33752204280806164,0.652023549572311,0
ACIDUM ACETYLSALICYLICUM*+GLYCINUM,ATC4,N02B A Salicylic acid and derivatives,0.0,0.01108238530918722,0
ACIDUM ACETYLSALICYLICUM*+ROSUVASTATINUM,ATC4,C10B X Lipid modifying agents in combination with other drugs,0.28730913941637964,0.32645736121701835,0
ACIDUM ACETYLSALICYLICUM*+VITAMIN C,ATC4,N02B A Salicylic acid and derivatives,0.008142252309653122,0.11387577685956572,0
ACIDUM ADENOSINTRIPHOSPHORICUM*,ATC4,C01E B Other cardiac preparations,0.0243870713704561,0.19313042644016487,0
ACIDUM ADENOSINTRIPHOSPHORICUM*+ACIDUM FOLICUM+MOLSIDOMINUM,ATC4,C01E X Other cardiac combination products,0.04735902653172714,0.2505142034820996,0
ACIDUM ADENOSINTRIPHOSPHORICUM*+COCARBOXYLASUM+CYANOCOBALAMINUM+NICOTINAMIDUM,ATC3,"A11J OTHER VITAMIN PRODUCTS, COMBINATIONS",0.2574656330066387,0.5492813889328529,0
ACIDUM ALENDRONICUM,ATC4,M05B A Bisphosphonates,0.5014073623833744,0.38315388198878686,0
ACIDUM ALENDRONICUM+COLECALCIFEROLUM,ATC3,M05B DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,5.962333741108146e-05,0.3630407592340286,0
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,0.45308031288937295,0.5288778951243774,0
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,0.002988653417150812,0.542305972003911,0
ACIDUM AZELAICUM,ATC3,D10A ANTI-ACNE PREPARATIONS FOR TOPICAL USE,0.1890147673278761,0.5979615022390714,0
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,ATC4,D03A X Other cicatrizants,0.0001801304966284094,0.03010116154094866,0
ACIDUM BORICUM*,ATC3,D08A ANTISEPTICS AND DISINFECTANTS,0.04417032601490709,0.6752333904355616,0
ACIDUM BORICUM*+BENZOCAINUM+CHLORAMPHENICOLUM+HYPPOPHAE RHAMNOIDES,ATC4,D03A X Other cicatrizants,0.006090727305755523,0.04531747397707782,0
ACIDUM BORICUM*+DEXTROSUM*+OSARSOLUM,ATC4,G01A X Other antiinfectives and antiseptics,0.0,0.010154884381362006,0
ACIDUM BORICUM*+ZINCI SULFAS*,ATC4,S01A X Other antiinfectives,0.0,0.04344990379189558,0
ACIDUM CITRICUM+KALII HYDROCARBONATIS+SODIUM CITRAS*,ATC4,G04B C Urinary concrement solvents,0.14317529816075908,0.4002902141954259,0
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,ATC4,A06A B Contact laxatives,0.0,0.013512611937413087,0
ACIDUM CLODRONICUM,ATC4,M05B A Bisphosphonates,0.0,0.00994950080176779,0
ACIDUM ETACRYNICUM,ATC3,C03C HIGH-CEILING DIURETICS,0.0,0.010106614390485151,0
ACIDUM FOLICUM+FERRI (III) HYDROXYDI POLYMALTOSUM COMPLEXUS*,ATC3,B03A IRON PREPARATIONS,0.039616586055961,0.4288039951452347,0
ACIDUM FOLICUM+FERRI SULFAS*,ATC3,B03A IRON PREPARATIONS,0.07618582750101703,0.699071970301725,0
ACIDUM FORMICUM*,ATC4,M02A X Other topical products for joint and muscular pain,0.04849618729880746,0.3673488800122204,0
ACIDUM FORMICUM*+SPIRITUS AETHYLICUS*,ATC4,M02A X Other topical products for joint and muscular pain,0.00315917487196734,0.04694228151257199,0
ACIDUM FUSIDICUM+BETAMETHASONUM,ATC4,"D07C C Corticosteroids, potent, combinations with antibiotics",0.0,0.01196834991962748,0
ACIDUM GADOPENTETICUM,ATC4,V08C A Paramagnetic contrast media,0.0,0.018909401239463317,0
ACIDUM GADOTERICUM,ATC4,V08C A Paramagnetic contrast media,0.8444040383490576,0.3232057945501711,0
ACIDUM GADOXETICUM,ATC4,V08C A Paramagnetic contrast media,0.0,0.04040947906395406,0
ACIDUM GAMMA-AMINOBUTYRICUM*,ATC4,N06B X Other psychostimulants and nootropics,0.021120803493418185,0.15976758086435436,0
