model,split,converged,PR_AUC,ROC_AUC,Brier,base_rate,Precision@10,Lift@10,Precision@20,Lift@20,NDCG@20,n_observations
Base rate,validation_2021H2,True,0.25030256353834307,0.5,0.1876511905399165,0.25030256353834307,0.2524941224311265,1.0087666513434366,0.26756106951369046,1.0689429613974184,0.25030249636789575,9089
Logistic L2,validation_2021H2,True,0.43681502062576444,0.7391363611439925,0.16864945256759856,0.25030256353834307,0.5182557270226166,2.0706111243290573,0.4891402195119546,1.954237556984082,0.4840606285070848,9089
Elastic Net,validation_2021H2,False,0.44030037966864466,0.739931363030864,0.16811400705957183,0.25030256353834307,0.5237527062255908,2.092561391688489,0.4902512338026482,1.9586815029687097,0.48760103535871474,9089
Random Forest,validation_2021H2,True,0.5633511845234362,0.814966149201547,0.14445811626973606,0.25030256353834307,0.6446153419735114,2.575452437655619,0.5628306673412572,2.248693197450143,0.5906852967690254,9089
Gradient Boosting,validation_2021H2,True,0.5358293776703419,0.8045242019500898,0.14845535459261897,0.25030256353834307,0.6183280290932066,2.470453234752313,0.5408444887316529,2.1608585954556854,0.5640797273601151,9089
Base rate,locked_test_2023H1,True,0.2502974580854516,0.5,0.1876486405637664,0.2502974580854516,0.2211073872364195,0.8833378777049891,0.24513771105534335,0.9793707631591936,0.2502972878115027,9245
Logistic L2,locked_test_2023H1,True,0.4369861772324816,0.7191767548923722,0.1681382841313617,0.2502974580854516,0.514516129032258,2.055590634761556,0.48164014535765237,1.9242534645665632,0.4942937810718784,9245
Elastic Net,locked_test_2023H1,True,0.436760503888019,0.7192023809954327,0.16816078219618508,0.2502974580854516,0.5112903225806451,2.042715316402736,0.482181270898778,1.926413741990334,0.49449261957006946,9245
Random Forest,locked_test_2023H1,True,0.5536052662634041,0.8125194300106232,0.14547388503808165,0.2502974580854516,0.6094190755481078,2.4347025066618215,0.5550688193735485,2.2175905861546643,0.5827504307615919,9245
Gradient Boosting,locked_test_2023H1,True,0.5602317711406398,0.8157367217817012,0.14437400453466367,0.2502974580854516,0.630952380952381,2.520735543683246,0.5496645914199939,2.196018534195819,0.5800257747767236,9245
