model,split,converged,MAE,RMSE
Zero change,validation_2021H2,True,0.021322597007859583,0.0612333836924633
Ridge,validation_2021H2,True,0.023003055994611023,0.05862518485513251
Elastic Net,validation_2021H2,True,0.022853422973024843,0.05827138514098764
Random Forest,validation_2021H2,True,0.021594678284635044,0.057929433927277306
Gradient Boosting,validation_2021H2,True,0.02263007216766496,0.061604098885459986
Zero change,locked_test_2023H1,True,0.018737166410285642,0.05323110822968373
Ridge,locked_test_2023H1,True,0.0187423727096114,0.049841522493975006
Elastic Net,locked_test_2023H1,True,0.0186497215861653,0.0496146412223881
Random Forest,locked_test_2023H1,True,0.017961704344238404,0.04722234852214199
Gradient Boosting,locked_test_2023H1,True,0.018819264223097917,0.04783826854838825
