INN,sales_2019,sales_2022,sales_2023,known_inn,YoY,CAGR,portfolio_share_2023,sku_count,brand_count,strength_breadth,form_breadth,pack_breadth,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment,market_level,market,market_growth,peer_share_2023,share_change_3m,share_change_6m,share_change_12m,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,selected_model,opportunity_probability,predicted_share_change_6m,holdout_WAPE,holdout_bias,relative_growth,cluster,PC1,PC2,archetype,action,reason,supply_watch
ABACAVIRUM+LAMIVUDINUM,0.0,0.0,0.0,True,,,0.0,1,1,0,1,1,0.9833333333333332,0.0208333333333333,7.681145747868606,60.0,0.0,26,33,0,0.1864406779661007,0.0,-0.0212765957446809,Potential discontinued,ATC4,"J05A R Antivirals for treatment of HIVinfections, combinations",-1.0,,,,,0.0,0.2428996650159566,0.0,1.5036385332474156,,Damped ETS,,,,,,1.0,-4.410298421910057,-0.20681396634145643,Niche / Volatile,Monitor,常规跟踪销量与生命周期信号,False
ABIES ALBA*&+DAUCUS CAROTA*&+HUMULUS LUPULUS*&+MENTHA PIPERITA+ORIGANUM VULG.*&,873188.8000000002,702495.8400000001,708320.15,True,0.0082908818363962,-0.0509690848645054,0.000834519228966,3,1,0,1,1,0.0,65830.44183333333,0.1829920820803565,1.0,0.0334861021041039,0,0,0,0.7749791753134789,0.5564931597233798,0.776260761769891,Seasonal,ATC4,G04B X Other urologicals,0.067501027163765,0.1750854474495373,0.0027859026734699,-0.0066820461676828,-0.0102815913293923,708320.15,610259.2391551272,412059.7841939247,731146.3179632045,-0.1384415095982697,Damped ETS,0.3729076430996454,0.0,0.0937163585557513,-0.0366893816997549,-0.059210145327368804,3.0,0.973860579973657,-0.8302269329605587,Emerging / Mixed,Defend,已知INN规模位于前25%，但同类份额下降,False
ABIRATERONE,0.1,94.46,545.4399999999999,True,4.77429599830616,7.593829754487043,6.426192566274679e-07,5,4,2,1,2,0.25,12.680166666666668,1.5383411682184054,1.3333333333333333,1.5248701623766765,0,0,15,0.0464909460057902,0.6856906313820486,0.2314618511349157,Lumpy / volatile,ATC3,L02B HORMONE ANTAGONISTS AND RELATED AGENTS,0.0004004004089481,0.0011639314824538,0.0001769752216058,-4.281439772478861e-05,0.0009622796236926,545.4399999999999,671.5707571381321,0.0,1359.228165426299,0.2312458879769217,Damped ETS,0.0664277267836229,0.0,0.6180809443556343,-0.5973817556596509,4.773895597897212,3.0,-0.19035779961499655,3.1480057244004978,Emerging / Mixed,Market-led Growth,销量增长且同类份额变化不超过0.2个百分点,True
ABROCITINIBUM,0.0,0.0,1.33,True,,,1.5669617397230354e-09,2,2,2,1,1,0.9166666666666666,0.0221666666666666,3.768192721511847,12.0,0.2666063655379048,55,0,0,0.1333891241253347,0.1754061177263787,,Launch / lifecycle,ATC4,"D11A H Agents for dermatitis, excluding corticosteroids",1.3339797182933526,9.379612671363056e-06,1.9091402427020795e-06,1.9175613003257115e-05,9.379612671363056e-06,1.33,2.321280583959314,0.0,3.9980632787071535,0.74532374733783,Damped ETS,0.0721603546305423,0.0,1.0,-1.0,,1.0,-3.3415974140882994,1.0250542290916582,Niche / Volatile,Monitor,常规跟踪销量与生命周期信号,True
ACALABRUTINIBUM,0.0,0.0,2.29,True,,,2.6980017924554516e-09,1,1,1,1,1,0.9333333333333332,0.0381666666666666,5.78450008711163,15.0,1.2973627505196317,52,3,1,0.1828232633746565,0.088472422060676,,Launch / lifecycle,ATC3,L01E PROTEIN KINASE INHIBITORS,-0.3031929496811925,0.0005338779354543,-0.0030077989832042,0.0012126992860192,0.0005338779354543,2.29,2.2126139900789057,0.0,5.099705998328947,-0.0337930174327922,Damped ETS,0.0646558912245671,0.0,1.0,-1.0,,1.0,-3.6000349586011993,-0.06710094492493557,Niche / Volatile,Monitor,常规跟踪销量与生命周期信号,False
ACECLOFENACUM,361302.85,314868.42999999993,206030.8,True,-0.3456606621375155,-0.131009176430908,0.0002427386321838,11,5,2,3,6,0.0,27574.380666666668,0.2591974254382133,1.0,0.0671833053537981,0,0,0,0.033366259515743,0.4133985188989737,0.1504561365334982,Stable,,,,,,,,206030.8,144872.27313512124,63833.47020069574,201254.1751438254,-0.2968416705894398,Damped ETS,,,0.129781994580694,0.0818589846034904,,4.0,1.8045842707393158,0.5011997042122656,Mature Leaders,Monitor,跨多个ATC3或不足3个同类INN，竞争份额不适用,False
ACENOCOUMAROLUM,34777.34,0.0,0.0,True,,-1.0,0.0,1,1,1,1,1,0.8333333333333334,579.6223333333332,2.853047784478934,6.0,0.5233136100866924,0,50,0,0.0256264077617136,0.4114232850999846,,Potential discontinued,ATC4,B01A A Vitamin K antagonists,-0.1453327721109616,0.0,0.0,0.0,0.0,0.0,4099.854718808386,4093.5897042617166,4101.115457676618,,Damped ETS,0.0099495008017677,0.0,,,,1.0,-3.304193577220036,-0.7172050790580499,Niche / Volatile,Monitor,常规跟踪销量与生命周期信号,False
ACETAZOLAMIDUM,92581.05,80331.3,84057.9,True,0.0463903858147445,-0.0238555070710215,9.903422046726684e-05,2,2,1,1,2,0.0,7328.071166666667,0.1210138162730783,1.0,0.0146443437289743,0,0,0,0.366112245643249,0.159272958216603,0.0909517813567089,Stable,ATC4,S01E C Carbonic anhydrase inhibitors,0.0912031959574608,0.150030700303726,0.0041801144857973,-0.0156715430898706,-0.0064252284610343,84057.9,77107.12926441006,44044.34645144401,100110.21560323636,-0.082690273437594,Damped ETS,0.2342096465173145,0.0,0.1195880142043269,-0.118632733879239,-0.044812810142716306,3.0,0.49683728384354753,-0.5379033782192402,Emerging / Mixed,At Risk,同类份额与预测销量同时下降，核查原因,False
ACETYLAMINONITROPROPOXYBENZENUM*,1576.9,0.0,0.0,True,,-1.0,0.0,1,1,1,1,1,0.8333333333333334,26.281666666666663,2.346046208338675,6.0,0.0839888019433787,0,50,0,0.0426489873086166,0.4251710808995287,,Potential discontinued,ATC4,R02A A Antiseptics,-0.0336320250521112,0.0,0.0,0.0,0.0,0.0,114.6166577237156,108.35164317704636,115.87739659194706,,Damped ETS,0.0103668881926902,0.0,,,,1.0,-3.1766021209018205,-0.6950869091722678,Niche / Volatile,Monitor,常规跟踪销量与生命周期信号,False
ACETYLCYSTEINUM,2327438.62,1999562.08,1974150.9,True,-0.0127083726252699,-0.0403220255544607,0.0023258788937893,61,16,3,3,7,0.0,186630.25466666667,0.5589743668498444,1.0,0.3124523427951844,0,0,0,0.7334349828427752,0.0507228582431792,0.5478731161214198,Seasonal,ATC4,R05C B Mucolytics,-0.0488262999090003,0.204270495671033,0.0187594489872689,-0.0047472779414361,0.0074727939590412,1974150.9,1787337.7546615098,1234938.3454520337,2124260.7342313225,-0.0946296178972389,Damped ETS,0.2716749393036337,0.0,0.1768872800763635,-0.0664603454463947,0.0361179272837304,4.0,5.806981116670255,2.2947799213436504,Mature Leaders,Monitor,常规跟踪销量与生命周期信号,False
