month,sales
2019-01-01,100614334.55000001
2019-02-01,90328758.72
2019-03-01,95401353.78999999
2019-04-01,88662738.59
2019-05-01,85748570.27999999
2019-06-01,81353395.89999999
2019-07-01,83917927.16
2019-08-01,86986781.36000001
2019-09-01,92464059.97999999
2019-10-01,97571145.25
2019-11-01,98140368.13
2019-12-01,106110407.55999999
2020-01-01,106554474.91000003
2020-02-01,103560364.00999999
2020-03-01,118782896.22
2020-04-01,66296734.83
2020-05-01,63461480.89
2020-06-01,66097418.730000004
2020-07-01,72324357.04
2020-08-01,81830110.18
2020-09-01,89684189.07000001
2020-10-01,100429789.94
2020-11-01,98909838.79
2020-12-01,94963199.58000001
2021-01-01,85494258.09
2021-02-01,82285221.63
2021-03-01,98946594.50999999
2021-04-01,88208139.82
2021-05-01,82866388.94
2021-06-01,79992631.47999999
2021-07-01,79971740.63
2021-08-01,84767048.84
2021-09-01,94486454.82000001
2021-10-01,106953570.08
2021-11-01,93745003.25999999
2021-12-01,90340844.06
2022-01-01,99549519.08000001
2022-02-01,109000202.3
2022-03-01,79022049.61
2022-04-01,53974145.13
2022-05-01,55511908.22
2022-06-01,52358111.79000001
2022-07-01,57772440.33999999
2022-08-01,61459476.91
2022-09-01,66202845.60999999
2022-10-01,68723421.67
2022-11-01,67125174.76
2022-12-01,74395789.83
2023-01-01,70047537.00999999
2023-02-01,67436611.52
2023-03-01,79634106.16
2023-04-01,68050566.16
2023-05-01,68805407.47999999
2023-06-01,66503814.11
2023-07-01,64408687.169999994
2023-08-01,68449762.31
2023-09-01,71849045.13
2023-10-01,74710799.7
2023-11-01,72138049.44999999
2023-12-01,76741921.66
