ATC5,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
A01A B03 Chlorhexidine,22547.376279060798,24302.35025381091,41723.7029240749,21406.22413102985,22689.404260278137,26736.67022238793,29447.460754392734,30659.705849402097,27343.941204761268,26333.634200792818,25156.78267275696,25244.212870539657
A01A B11 Various,8343.003530776976,8065.827175339036,9805.072090306578,5770.274859596128,5329.1526228449075,4556.850836773021,4710.429906261504,5528.825104598562,7515.32560454393,8736.366409209719,8532.586771873172,8315.764470037797
A01A B12 Hexetidine,23481.109083733325,19440.971454707014,17705.308466073344,8135.3939897538085,5896.37752328555,5583.374264698337,8537.814372415949,10850.274373177423,15960.72508837399,17366.34957511863,17549.693479101727,18892.198916875586
A01A B18 Clotrimazole,5181.4170601939295,4831.296207708773,4950.831055274356,4297.609530092091,4748.167921406991,5198.120047925293,5448.53758920366,5600.846450453969,5000.303310595191,4978.708132903796,4937.715977115292,4978.273623409655
"A01A B53** Chlorhexidine, combinations",872.6319461338217,808.5870369599152,959.9195627829668,111.5501346433399,0.0,0.0,0.0,0.0,838.14160198431,889.3679928101044,714.3691061841948,751.5570726298304
"A01A B67** Metronidazole, combinations",55863.380863124126,53098.68163322994,52198.791078044815,44574.25826262691,44820.63243902278,44474.11380886969,49612.56613347741,57371.481621893785,55074.05284135711,52855.00064565796,54338.89731782883,56643.33228429576
A01A D02 Benzydamine,292034.88848390174,287097.3329052727,270690.98598395166,194931.1180670654,184715.94211736915,167709.76522542248,168391.22540040576,198027.3180926232,296453.34231289366,297663.05444362626,276807.10796083335,308163.98010173935
A01A D11 Various,144511.37738087573,134453.18430991564,133734.13948642462,90660.71658097177,84834.63642662807,77231.82826731435,88361.5507497955,99017.71744365321,114602.69270456387,125348.40523362663,127488.69339187689,136111.1510362451
A02A B03 Aluminium phosphate,14411.865507150327,11797.176812045413,7169.429887414664,2465.729179163247,3475.836644015293,3906.1938473501104,6686.3360414711515,8562.569028221162,10916.94104907435,13510.81069721008,14362.886047171853,16731.43995859445
A02A B10 Combinations,54463.337619130645,49779.52612606307,48822.738181789624,42390.98267655149,39382.65032254156,35193.90928951424,38172.496513272985,39917.046742460574,43853.203375991274,49462.585132996435,49974.93058878115,54944.12660358955
