SKU,ATC1,ATC2,ATC3,ATC4,ATC5,Brand,INN,NFC,Description,known_inn,INN_key,strength_value,strength_unit,strength_mg,pack_size,dosage_form,concentration_flag,multi_strength_flag,strength_parse_status
111615,M MUSCULO-SCELETAL SYSTEM,M09 OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09A OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09A X Other drugs for disorders of the musculo-skeletal system,M09A X15** Other drugs,18968,-,Parenteral Ordinary,"sol. for inj. amp. 2 ml, #100",False,UNKNOWN_SKU_111615,,,,100.0,Parenteral,False,False,not_comparable_or_missing
102118,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01 ANTINEOPLASTIC AGENTS,L01E PROTEIN KINASE INHIBITORS,L01E X Other protein kinase inhibitors,L01E X02 Sorafenib,44664,SORAFENIBUM,Oral Solid Ordinary,"tabs coated w/film 200 mg, #112",True,SORAFENIBUM,200.0,mg,200.0,112.0,Oral solid,False,False,single_mass
419910,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01 ANTINEOPLASTIC AGENTS,L01F MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01F F PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,L01F F02 Pembrolizumab,49990,PEMBROLIZUMABUM,Parenteral Ordinary,"conc. for infus. sol. 25 mg/ml flask 4 ml, #1",True,PEMBROLIZUMABUM,,,,1.0,Parenteral,True,False,not_comparable_or_missing
295288,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01 ANTINEOPLASTIC AGENTS,L01F MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01F D HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,L01F D03 Trastuzumab emtansine,22050,TRASTUZUMABUM EMTANSINUM,Parenteral Ordinary,"powder f/conc. f/inf. sol. 160 mg flask, #1",True,TRASTUZUMABUM EMTANSINUM,160.0,mg,160.0,1.0,Parenteral,False,False,single_mass
447002,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04 IMMUNOSUPPRESSANTS,L04A IMMUNOSUPPRESSANTS,L04A A Selective immunosuppressants,L04A A36 Ocrelizumab,5667,OCRELIZUMABUM,Parenteral Ordinary,"conc. for infus. sol. 300 mg/10 ml flask, #1",True,OCRELIZUMABUM,,,,1.0,Parenteral,True,False,not_comparable_or_missing
426961,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01 ANTINEOPLASTIC AGENTS,L01F MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01F F PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,L01F F05 Atezolizumab,13639,ATEZOLIZUMABUM,Parenteral Ordinary,"conc. for infus. sol. 1200 mg/20 ml flask, #1",True,ATEZOLIZUMABUM,,,,1.0,Parenteral,True,False,not_comparable_or_missing
136632,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01 ANTINEOPLASTIC AGENTS,L01E PROTEIN KINASE INHIBITORS,L01E G Mammalian target of rapamycin (mTOR) kinase inhibitors,L01E G02 Everolimus,9681,EVEROLIMUSUM,Oral Solid Ordinary,"tabs 10 mg blister, #30",True,EVEROLIMUSUM,10.0,mg,10.0,30.0,Oral solid,False,False,single_mass
83277,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01 ANTINEOPLASTIC AGENTS,L01B ANTIMETABOLITES,L01B A Folic acid analogues,L01B A04 Pemetrexed,15673,PEMETREXEDUM,Parenteral Ordinary,"lyophil. f/prep. solut. f/inf. 500 mg flask, #1",True,PEMETREXEDUM,500.0,mg,500.0,1.0,Parenteral,False,False,single_mass
156475,S SENSORY ORGANS,S01 OPHTALMOLOGICALS,S01B ANTIINFLAMMATORY AGENTS,"S01B A Corticosteroids, plain",S01B A01 Dexamethasone,37317,DEXAMETHASONUM,Parenteral Retard,"for introd. intravitr. impl. 700 mcg applicat., #1",True,DEXAMETHASONUM,700.0,mcg,0.7000000000000001,1.0,Parenteral,False,False,single_mass
355119,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04 IMMUNOSUPPRESSANTS,L04A IMMUNOSUPPRESSANTS,L04A B Tumor necrosis factor alpha inhibitors,L04A B04 Adalimumab,49707,ADALIMUMAB,Parenteral Ordinary,"sol. for inj. 40 mg/0,8 ml flask, +syrin.,needle, adapter,2wipes, #2",True,ADALIMUMAB,,,,2.0,Parenteral,True,False,not_comparable_or_missing
188093,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02 ENDOCRINE THERAPY,L02B HORMONE ANTAGONISTS AND RELATED AGENTS,L02B X Other hormone antagonists and related agents,L02B X03 Abirateronum,10458,ABIRATERONE,Oral Solid Ordinary,"tabs 250 mg flask, #120",True,ABIRATERONE,250.0,mg,250.0,120.0,Oral solid,False,False,single_mass
412521,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01 ANTINEOPLASTIC AGENTS,L01E PROTEIN KINASE INHIBITORS,L01E F Cyclin-dependent kinase (CDK) inhibitors,L01E F01 Palbociclib,6267,PALBOCICLIBUM,Oral Solid Ordinary,"caps. 75 mg blister, #21",True,PALBOCICLIBUM,75.0,mg,75.0,21.0,Oral solid,False,False,single_mass
183766,R RESPIRATORY SYSTEM,R02 THROAT PREPARATIONS,R02A THROAT PREPARATIONS,R02A A Antiseptics,R02A A20 Various,25984,AMYLMETACRESOLUM+DICHLOROBENZYL ALCOHOL*,Oral Topical,"lollipops envelopes in jars, orange, #200",True,AMYLMETACRESOLUM+DICHLOROBENZYL ALCOHOL*,,,,200.0,Topical,False,False,not_comparable_or_missing
95414,R RESPIRATORY SYSTEM,R05 COUGH AND COLD PREPARATIONS,R05X OTHER COLD PREPARATIONS,R05X OTHER COLD PREPARATIONS,R05X OTHER COLD PREPARATIONS,2215,CURCUMA LONGA*&+GLYCYRRHIZA GLABRA/URALENSIS*&+TERMINALIA BELERICA*+ZINGIBER OFFICINALE*,Oral Solid Ordinary,"lollipops, #200",True,CURCUMA LONGA*&+GLYCYRRHIZA GLABRA/URALENSIS*&+TERMINALIA BELERICA*+ZINGIBER OFFICINALE*,,,,200.0,Oral solid,False,False,not_comparable_or_missing
189171,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J06 IMMUNE SERA AND IMMUNOGLOBULINS,J06B IMMUNOGLOBULINS,"J06B A Immunoglobulins, normal human","J06B A02 Immunoglobulins, normal human, for intravascular adm.",10784,IMMUNOGLOBULINUM HUMANUM*,Parenteral Ordinary,"sol. for inj. 10 % flask 100 ml, #1",True,IMMUNOGLOBULINUM HUMANUM*,,,,1.0,Parenteral,False,False,not_comparable_or_missing
92494,C CARDIOVASCULAR SYSTEM,C01 CARDIAC THERAPY,C01C CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01C X Other cardiac stimulants,C01C X08 Levosimendan,5097,LEVOSIMENDANUM,Parenteral Ordinary,"conc. for prep. of infus. sol. 2,5 mg/ml flask 5 ml, #1",True,LEVOSIMENDANUM,,,,1.0,Parenteral,True,False,not_comparable_or_missing
170781,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02 ENDOCRINE THERAPY,L02B HORMONE ANTAGONISTS AND RELATED AGENTS,L02B A Anti-estrogens,L02B A03 Fulvestrant,14075,FULVESTRANTUM,Parenteral Retard,"sol. for inj. 250 mg syr. 5 ml, #2",True,FULVESTRANTUM,250.0,mg,250.0,2.0,Parenteral,False,False,single_mass
265228,"H SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES","H01 PITUITARY, HYPOTALAMIC HORMONES AND ANALOGUES",H01C HYPOTALAMIC HORMONES,H01C B Somatostatin and analogues,H01C B03 Lanreotide,4618,LANREOTIDUM,Parenteral Ordinary,"sol. prolong. f/inject. 120 mg syr. 0,5 ml, aut.saf.syst., needle 1,2x20mm, #1",True,LANREOTIDUM,120.0,mg,120.0,1.0,Parenteral,False,False,single_mass
316951,L ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01 ANTINEOPLASTIC AGENTS,L01F MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01F A CD20 (Clusters of Differentiation 20) inhibitors,L01F A01 Rituximab,5449,RITUXIMABUM,Parenteral Ordinary,"sol. for inj. 1400 mg/11,7 ml flask, #1",True,RITUXIMABUM,,,,1.0,Parenteral,True,False,not_comparable_or_missing
