SKU,forecast_2024,model
111615,6.0,Seasonal Naive
102118,22.85,Seasonal Naive
419910,4019.4,Seasonal Naive
295288,22.93,Seasonal Naive
447002,39.21,Seasonal Naive
426961,115.05,Seasonal Naive
136632,8.94,Seasonal Naive
83277,0.0,Seasonal Naive
156475,2.06,Seasonal Naive
355119,0.0,Seasonal Naive
188093,0.0,Seasonal Naive
412521,18.72,Seasonal Naive
183766,0.0,Seasonal Naive
95414,0.0,Seasonal Naive
189171,0.0,Seasonal Naive
92494,31.809999999999995,Seasonal Naive
170781,403.24999999999994,Seasonal Naive
265228,138.81,Seasonal Naive
316951,16.87,Seasonal Naive
88289,0.0,Seasonal Naive
295287,10.96,Seasonal Naive
174362,11.469999999999999,Seasonal Naive
412555,103.89999999999999,Seasonal Naive
159567,0.0,Seasonal Naive
75118,0.0,Seasonal Naive
231103,0.24000000000000002,Seasonal Naive
149425,0.0,Seasonal Naive
137257,1.22,Seasonal Naive
384032,0.0,Seasonal Naive
435144,0.83,Seasonal Naive
123875,92.35000000000001,Seasonal Naive
138747,0.0,Seasonal Naive
140727,713.72,Seasonal Naive
66678,24.270000000000003,Seasonal Naive
188001,5.8,Seasonal Naive
185929,0.0,Seasonal Naive
10705,493.93000000000006,Seasonal Naive
108746,0.0,Seasonal Naive
149426,0.0,Seasonal Naive
378920,19.84,Seasonal Naive
184858,2.0,Seasonal Naive
184856,3.61,Seasonal Naive
161396,0.0,Seasonal Naive
330895,177.01000000000002,Seasonal Naive
406440,29.630000000000003,Seasonal Naive
139412,218.09000000000003,Seasonal Naive
147057,58.62,Seasonal Naive
132997,0.0,Seasonal Naive
386946,12.78,Seasonal Naive
105312,0.0,Seasonal Naive
554599,0.0,Seasonal Naive
554602,10.4,Seasonal Naive
81722,80.15,Seasonal Naive
184855,0.39,Seasonal Naive
177911,0.0,Seasonal Naive
30646,11239.17,Seasonal Naive
326369,161.56,Seasonal Naive
47077,0.0,Seasonal Naive
39250,5.2299999999999995,Seasonal Naive
105640,240.08,Seasonal Naive
134339,58.910000000000004,Seasonal Naive
86272,0.0,Seasonal Naive
189169,190.15000000000003,Seasonal Naive
173999,260.42,Seasonal Naive
37688,1.48,Seasonal Naive
37686,64.9,Seasonal Naive
5438,0.0,Seasonal Naive
121394,41.54,Seasonal Naive
74519,2007.96,Seasonal Naive
9176,2.76,Seasonal Naive
91723,1.5999999999999999,Seasonal Naive
324139,73.03,Seasonal Naive
502464,0.0,Seasonal Naive
118088,1.43,Seasonal Naive
188966,64.03,Seasonal Naive
401846,0.0,Seasonal Naive
307571,0.0,Seasonal Naive
438609,18.95,Seasonal Naive
138891,337.17,Seasonal Naive
443814,0.0,Seasonal Naive
42547,0.0,Seasonal Naive
69314,0.0,Seasonal Naive
389852,0.0,Seasonal Naive
317427,343.28999999999996,Seasonal Naive
92373,128.06,Seasonal Naive
110762,509.1,Seasonal Naive
105376,0.0,Seasonal Naive
50320,0.0,Seasonal Naive
86270,0.0,Seasonal Naive
10600,0.0,Seasonal Naive
285543,0.0,Seasonal Naive
142426,0.0,Seasonal Naive
36216,0.0,Seasonal Naive
110761,123.82,Seasonal Naive
73962,3.8200000000000003,Seasonal Naive
99390,0.0,Seasonal Naive
281487,7.54,Seasonal Naive
437374,5.199999999999999,Seasonal Naive
360356,384.39,Seasonal Naive
410903,28171.44,Seasonal Naive
330891,348.15,Seasonal Naive
305398,0.0,Seasonal Naive
377039,0.0,Seasonal Naive
159563,0.0,Seasonal Naive
153023,0.0,Seasonal Naive
363712,0.0,Seasonal Naive
362374,2067.8,Seasonal Naive
124492,0.0,Seasonal Naive
90073,0.0,Seasonal Naive
274909,4187.09,Seasonal Naive
111056,0.0,Seasonal Naive
94601,6.45,Seasonal Naive
136828,0.14,Seasonal Naive
502484,0.0,Seasonal Naive
161764,0.0,Seasonal Naive
343128,0.0,Seasonal Naive
438274,0.0,Seasonal Naive
238300,1033.72,Seasonal Naive
295129,0.0,Seasonal Naive
66103,0.0,Seasonal Naive
71100,0.0,Seasonal Naive
189199,104.63000000000001,Seasonal Naive
101737,2.35,Seasonal Naive
440758,576.22,Seasonal Naive
438610,147.34,Seasonal Naive
100082,0.0,Seasonal Naive
154607,0.0,Seasonal Naive
115587,0.0,Seasonal Naive
