SKU,INN,ATC4,ATC5,allocated_direct_2024
111615,UNKNOWN_SKU_111615,M09A X Other drugs for disorders of the musculo-skeletal system,M09A X15** Other drugs,18.868286268414302
102118,SORAFENIBUM,L01E X Other protein kinase inhibitors,L01E X02 Sorafenib,23.274957475940106
419910,PEMBROLIZUMABUM,L01F F PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,L01F F02 Pembrolizumab,8366.04315696868
295288,TRASTUZUMABUM EMTANSINUM,L01F D HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,L01F D03 Trastuzumab emtansine,0.0
447002,OCRELIZUMABUM,L04A A Selective immunosuppressants,L04A A36 Ocrelizumab,32.10839443903854
426961,ATEZOLIZUMABUM,L01F F PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,L01F F05 Atezolizumab,0.0
136632,EVEROLIMUSUM,L01E G Mammalian target of rapamycin (mTOR) kinase inhibitors,L01E G02 Everolimus,11.821421882951945
83277,PEMETREXEDUM,L01B A Folic acid analogues,L01B A04 Pemetrexed,0.0
156475,DEXAMETHASONUM,"S01B A Corticosteroids, plain",S01B A01 Dexamethasone,1.8387390893357538
355119,ADALIMUMAB,L04A B Tumor necrosis factor alpha inhibitors,L04A B04 Adalimumab,0.0
188093,ABIRATERONE,L02B X Other hormone antagonists and related agents,L02B X03 Abirateronum,0.0
412521,PALBOCICLIBUM,L01E F Cyclin-dependent kinase (CDK) inhibitors,L01E F01 Palbociclib,15.105111071454644
183766,AMYLMETACRESOLUM+DICHLOROBENZYL ALCOHOL*,R02A A Antiseptics,R02A A20 Various,0.0
95414,CURCUMA LONGA*&+GLYCYRRHIZA GLABRA/URALENSIS*&+TERMINALIA BELERICA*+ZINGIBER OFFICINALE*,R05X OTHER COLD PREPARATIONS,R05X OTHER COLD PREPARATIONS,0.17094734224964428
189171,IMMUNOGLOBULINUM HUMANUM*,"J06B A Immunoglobulins, normal human","J06B A02 Immunoglobulins, normal human, for intravascular adm.",0.0
92494,LEVOSIMENDANUM,C01C X Other cardiac stimulants,C01C X08 Levosimendan,40.57633190672646
170781,FULVESTRANTUM,L02B A Anti-estrogens,L02B A03 Fulvestrant,151.66372983703837
265228,LANREOTIDUM,H01C B Somatostatin and analogues,H01C B03 Lanreotide,133.69847779464584
