INN,SKU,start,end,duration,peer_count,focal_before_mean,peer_before_mean,peer_during_mean,peer_uplift,peer_seasonal_baseline,peer_uplift_vs_prior_year,apparent_absorption_ratio,potential_availability_event
ABIRATERONE,188093,2019-06-01,2019-09-01,4,4,0.0033333333333333335,0.0,0.0,,,,0.0,True
ABIRATERONE,188093,2019-12-01,2019-12-01,1,4,0.02,0.0,0.0,,,,0.0,True
ABIRATERONE,188093,2020-03-01,2020-03-01,1,4,0.02,0.0,0.0,,0.0,,0.0,True
ABIRATERONE,188093,2020-05-01,2020-05-01,1,4,0.02,0.0,0.0,,0.0,,0.0,True
ABIRATERONE,188093,2020-07-01,2020-08-01,2,4,0.02,0.0,0.0,,0.0,,0.0,True
ABIRATERONE,188093,2020-10-01,2021-05-01,8,4,0.01,0.0,0.47375,,0.0,,47.375,True
ABIRATERONE,188093,2021-08-01,2022-02-01,7,4,0.02,8.673333333333334,18.59142857142857,1.143515976721203,0.02428571428571429,764.5294117647057,495.90476190476176,True
ABIRATERONE,598784,2022-05-01,2022-05-01,1,4,8.056666666666667,0.09000000000000034,0.0,-1.0,0.0,,-0.011170872983036866,True
ABIRATERONE,598784,2022-10-01,2022-10-01,1,4,4.196666666666666,0.0,10.1,,16.3,-0.3803680981595092,2.406671961874504,True
ABIRATERONE,598839,2022-04-01,2022-11-01,8,4,0.12666666666666668,12.17,4.999999999999999,-0.5891536565324569,4.427499999999999,0.12930547713156407,-56.60526315789474,True
ABIRATERONE,598839,2023-01-01,2023-02-01,2,4,0.05333333333333334,14.293333333333331,39.475,1.7617770522388065,17.785,1.2195670508855778,472.15625000000006,True
ACECLOFENACUM,111130,2021-07-01,2021-10-01,4,10,6.756666666666667,36704.299999999996,37924.01,0.03323071138803918,31120.569999999996,0.21861553307024925,180.5194869264933,True
ACECLOFENACUM,153386,2021-10-01,2021-11-01,2,10,1.16,38342.66666666668,34638.69,-0.0966019577841919,31052.325,0.11549425043052337,-3193.083333333342,True
ACECLOFENACUM,153386,2022-01-01,2022-01-01,1,10,0.6166666666666667,33959.98666666667,33261.740000000005,-0.020560863981493493,29475.950000000004,0.12843657286703228,-1132.2918918918908,True
ACECLOFENACUM,153386,2022-03-01,2022-05-01,3,10,1.3233333333333335,33964.29666666667,30431.023333333334,-0.1040290446173428,35285.60333333333,-0.13757962288869272,-2669.979848866499,True
ACECLOFENACUM,153386,2022-07-01,2022-08-01,2,10,0.04666666666666667,24989.33666666667,23678.99,-0.0524362324676886,38236.21000000001,-0.3807181726431569,-28078.857142857174,True
ACECLOFENACUM,153386,2022-10-01,2022-10-01,1,10,0.12,23069.59,21129.789999999997,-0.08408471932097636,36664.560000000005,-0.42369988893907373,-16165.000000000025,True
ACECLOFENACUM,153386,2023-02-01,2023-05-01,4,10,3.233333333333333,19902.916666666668,18996.292499999996,-0.04555232692025902,31830.410000000003,-0.40320302189007323,-280.39922680412536,True
ACECLOFENACUM,153386,2023-07-01,2023-10-01,4,10,0.16666666666666666,18511.66,16315.122500000001,-0.11865697079570382,22584.64,-0.2776009491406548,-13179.224999999991,True
ACECLOFENACUM,562282,2023-04-01,2023-04-01,1,10,28.346666666666664,19018.3,18486.21,-0.02797778981296962,18343.69,0.007769429160654179,-18.770813734713084,True
ACECLOFENACUM,562283,2023-05-01,2023-07-01,3,10,15.813333333333334,18807.186666666665,17862.833333333332,-0.050212365627607565,23339.12,-0.23463980932728684,-59.71880269814497,True
ACECLOFENACUM,562283,2023-09-01,2023-10-01,2,10,0.05333333333333334,16865.686666666665,16098.185000000001,-0.04550669544831242,19218.23,-0.16234819751871002,-14390.656249999936,True
ACETYLCYSTEINUM,528407,2022-05-01,2022-05-01,1,60,0.4266666666666667,204722.49666666667,40251.720000000016,-0.8033839922070769,146289.77999999994,-0.7248494050643863,-385478.3828125,True
ACETYLCYSTEINUM,528407,2022-07-01,2022-07-01,1,60,2.9433333333333334,41554.33666666668,40267.01,-0.03097935787047035,85830.49,-0.5308542453852937,-437.3703284258239,True
ACETYLCYSTEINUM,145001,2019-05-01,2019-05-01,1,60,7.656666666666665,211085.78,143854.46,-0.31850236429948053,,,-8780.75576839356,True
ACETYLCYSTEINUM,145001,2022-02-01,2023-09-01,20,60,2.183333333333333,327370.7,145674.74800000002,-0.555015925371452,188141.164,-0.22571570780756928,-83219.52,True
ACETYLCYSTEINUM,318108,2020-12-01,2021-03-01,4,60,4.616666666666666,277148.2733333333,216741.12,-0.21795969574986343,285601.8325,-0.24110739030359696,-13084.581949458483,True
ACETYLCYSTEINUM,318108,2021-05-01,2021-06-01,2,60,2.06,224611.42333333334,132444.40499999997,-0.41033985255751404,38691.2,2.423114429120833,-44741.27103559872,True
ACETYLCYSTEINUM,318108,2022-03-01,2022-04-01,2,60,5.22,352711.23,101024.12,-0.7135783853550679,259960.865,-0.6113871986077597,-48215.9214559387,True
ACETYLCYSTEINUM,318108,2022-06-01,2022-08-01,3,60,0.2833333333333333,80766.37000000001,42184.63333333334,-0.47769556396637197,106920.08333333333,-0.60545641175925,-136170.83529411766,True
ACETYLCYSTEINUM,318108,2022-12-01,2023-01-01,2,60,1.89,172848.66,285572.56499999994,0.6521537685047714,323008.75,-0.11589836188648157,59642.27777777775,True
ACETYLCYSTEINUM,318108,2023-05-01,2023-06-01,2,60,1.36,192208.06666666674,105391.265,-0.45168136370273765,35871.02000000001,1.9380615605577978,-63835.88357843142,True
ACETYLCYSTEINUM,110750,2021-06-01,2021-06-01,1,60,7.9366666666666665,222228.51666666663,118107.35999999999,-0.46853193383297415,32224.149999999998,2.6651815486211428,-13119.0033599328,True
ACETYLCYSTEINUM,110750,2021-08-01,2021-08-01,1,60,3.8266666666666667,116953.03666666667,116675.07,-0.00237673748873153,95537.45999999999,0.22124944498210458,-72.63937282229787,True
ACETYLCYSTEINUM,356730,2022-08-01,2022-08-01,1,60,0.65,37335.983333333344,54795.72000000001,0.467638323886831,116494.06000000001,-0.5296264891102602,26861.133333333328,True
ACETYLCYSTEINUM,356730,2022-11-01,2022-11-01,1,60,7.006666666666667,128498.58333333333,187830.59999999998,0.461732846600773,335812.36000000004,-0.4406679968539575,8467.93767840152,True
ACETYLCYSTEINUM,356730,2023-05-01,2023-06-01,2,60,4.043333333333333,192205.3833333334,105391.265,-0.4516737087575506,35870.73000000001,1.9380853135690288,-21470.927864798035,True
ACETYLCYSTEINUM,111854,2019-05-01,2019-11-01,7,60,2.48,211090.95666666667,151267.08285714287,-0.283403300426515,,,-24122.529761904756,True
ACETYLCYSTEINUM,524923,2021-03-01,2021-03-01,1,60,11.923333333333334,191740.06333333332,291708.51999999996,0.5213749016702629,317409.5799999999,-0.08097128007289492,8384.270897400052,True
ACETYLCYSTEINUM,524923,2021-05-01,2021-06-01,2,60,3.1633333333333336,224610.31999999998,132444.40499999997,-0.41033695602232356,38690.244999999995,2.423198922622485,-29135.694942044258,True
ACETYLCYSTEINUM,524923,2021-08-01,2021-11-01,4,60,0.8866666666666667,116955.97666666664,293399.54000000004,1.5086322936382368,231846.59749999997,0.2654899539770044,198996.5000000001,True
ACETYLCYSTEINUM,524923,2022-01-01,2022-09-01,9,60,1.7566666666666666,351814.85333333333,144904.44333333333,-0.5881230085642775,174211.7533333333,-0.1682280870219126,-117785.81214421253,True
ACETYLCYSTEINUM,524923,2022-11-01,2023-05-01,7,60,4.073333333333333,128501.51666666668,208533.44571428577,0.6228092175380479,233790.55285714281,-0.10803305280812754,19647.773088613525,True
ACETYLCYSTEINUM,594630,2022-03-01,2022-03-01,1,60,15.85,352700.5999999999,149119.28999999998,-0.5772071553039603,291207.39999999997,-0.4879275389292992,-12844.246687697158,True
ACETYLCYSTEINUM,594630,2022-07-01,2022-09-01,3,60,0.5333333333333333,41556.74666666668,77594.46000000002,0.8671928440981583,154689.89,-0.498386998659059,67570.71250000001,True
ACETYLCYSTEINUM,594630,2022-12-01,2023-02-01,3,60,0.45,172850.09999999998,263538.36333333334,0.5246642225450455,352700.5999999999,-0.2527986532108723,201529.47407407413,True
ACETYLCYSTEINUM,317304,2022-11-01,2022-11-01,1,60,4.496666666666667,128501.09333333334,187830.59999999998,0.4617042947079462,332280.60000000003,-0.43472294199541,13194.108228317265,True
ACETYLCYSTEINUM,317304,2023-01-01,2023-04-01,4,60,3.3000000000000003,231804.06333333332,208295.58000000005,-0.10141532031527926,249295.40249999997,-0.16446281034003396,-7123.782828282811,True
ACETYLCYSTEINUM,317301,2022-10-01,2022-10-01,1,60,28.613333333333333,77565.84666666668,193000.39999999997,1.488213669985509,456842.52,-0.5775340701649225,4034.2924044734373,True
ACETYLCYSTEINUM,431135,2022-04-01,2022-04-01,1,60,8.696666666666667,315552.89333333325,52928.950000000004,-0.8322659968638326,228219.39,-0.768078645727692,-30198.2303564584,True
ACETYLCYSTEINUM,431135,2022-07-01,2022-08-01,2,60,3.0700000000000003,41554.210000000014,47531.365000000005,0.1438399382397112,101328.425,-0.5309177558024809,1946.956026058629,True
ACETYLCYSTEINUM,431135,2023-07-01,2023-10-01,4,60,2.523333333333333,120441.38000000002,116428.13249999999,-0.03332116835592573,106443.27000000002,0.0938045448998323,-1590.4547556142777,True
ACETYLCYSTEINUM,794782,2022-09-01,2022-11-01,3,60,0.24,42184.39333333334,172850.55000000002,3.0974999600958264,352307.6966666667,-0.5093761741925801,544442.3194444445,True
ACETYLCYSTEINUM,794782,2023-04-01,2023-04-01,1,60,7.093333333333334,227537.2866666667,150549.18000000005,-0.3383538047522349,52928.950000000004,1.8443636233101173,-10853.586466165412,True
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,192595,2019-06-01,2019-06-01,1,1,3.47,7.346666666666667,10.43,0.4196914700544464,,,0.8885686839577328,True
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,192595,2019-11-01,2019-11-01,1,1,3.6133333333333333,7.773333333333333,0.0,-1.0,,,-2.151291512915129,True
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,192595,2020-01-01,2020-03-01,3,1,1.1666666666666667,0.0,0.0,,7.793333333333334,-1.0,0.0,True
ACICLOVIRUM,6511,2022-04-01,2022-04-01,1,39,37.68666666666666,265296.31666666665,179598.66,-0.3230261834895433,257318.04,-0.3020362660931196,-2273.9516186095875,True
ACICLOVIRUM,25786,2022-06-01,2022-06-01,1,39,4.470000000000001,195636.44666666668,145609.72,-0.25571271365352616,206276.37999999998,-0.2941037650554076,-11191.661446681583,True
ACICLOVIRUM,25786,2022-08-01,2022-09-01,2,39,0.5733333333333334,166461.29333333333,207952.195,0.24925254896093166,279799.79000000004,-0.2567821619880416,72367.85174418605,True
ACICLOVIRUM,183803,2019-11-01,2020-05-01,7,39,5.596666666666667,294493.18,297730.65428571426,0.010993376096907474,,,578.4647324087439,True
ACICLOVIRUM,306974,2019-04-01,2021-09-01,30,39,0.25333333333333335,301338.24333333335,268262.51633333333,-0.10976279225007765,,,-130562.08026315794,True
ACICLOVIRUM,47572,2019-08-01,2019-08-01,1,39,2.91,237697.20333333337,287174.94,0.20815447541165136,,,17002.65864833905,True
ACICLOVIRUM,47572,2020-04-01,2020-04-01,1,39,1.8733333333333333,332146.89999999997,220619.66,-0.3357768505441417,300099.63,-0.26484527821643766,-59534.11387900354,True
ACICLOVIRUM,47572,2020-06-01,2020-06-01,1,39,1.22,241351.79666666666,174891.41,-0.27536727542350037,213139.78,-0.17945204785329139,-54475.72677595628,True
ACICLOVIRUM,47572,2020-08-01,2020-08-01,1,39,1.5866666666666667,200011.48,259072.83,0.2952898003654589,287174.94,-0.0978571110696498,37223.53991596637,True
ACICLOVIRUM,47572,2020-12-01,2020-12-01,1,39,2.7000000000000006,261380.99333333332,290390.69,0.11098625151244747,339220.17999999993,-0.14394630060039454,10744.332098765437,True
ACICLOVIRUM,47572,2021-05-01,2021-06-01,2,39,1.9833333333333334,269231.26,220806.19999999998,-0.17986418070472213,188115.77500000002,0.1737782224802782,-24415.996638655473,True
ACICLOVIRUM,47572,2022-04-01,2022-04-01,1,39,1.9000000000000001,265332.10333333333,179598.66,-0.32311749033107956,257325.28,-0.3020559037184376,-45122.8649122807,True
ACICLOVIRUM,47572,2023-02-01,2023-03-01,2,39,2.796666666666667,241123.24,240118.175,-0.004168262669330432,241181.51,-0.0044088578763770946,-359.3796185935646,True
ACICLOVIRUM,11456,2019-08-01,2019-08-01,1,39,0.27,237699.84333333335,287174.94,0.2081410571116208,,,183241.09876543202,True
ACICLOVIRUM,11456,2019-10-01,2020-02-01,5,39,0.49333333333333335,290090.33666666667,330402.846,0.1389653643639124,,,81714.54594594598,True
ACICLOVIRUM,-171103,2022-03-01,2022-06-01,4,39,2936.626666666667,283554.75333333336,183133.1175,-0.354152538981713,243897.84499999997,-0.24914007542789066,-34.19625551085827,True
ACIDUM ACETYLSALICYLICUM*,327233,2019-04-01,2019-04-01,1,58,4.0200000000000005,1535026.6066666667,1336680.25,-0.1292136278324053,,,-49339.88971807629,True
ACIDUM ACETYLSALICYLICUM*,327233,2019-08-01,2019-10-01,3,58,0.7000000000000001,2011620.4466666665,2775160.9233333333,0.3795648816017371,,,1090772.1095238095,True
ACIDUM ACETYLSALICYLICUM*,327233,2019-12-01,2020-07-01,8,58,0.41,1936222.7833333334,1676112.19875,-0.13433918184535365,,,-634416.0599593499,True
ACIDUM ACETYLSALICYLICUM*,327233,2020-09-01,2020-11-01,3,58,3.1733333333333333,2374477.5866666664,2718594.6033333335,0.14492325326588767,1936222.7833333334,0.40407117751868205,108440.23634453795,True
ACIDUM ACETYLSALICYLICUM*,108286,2019-08-01,2019-08-01,1,58,0.8866666666666667,2011620.26,4055937.67,1.0162541363547413,,,2305621.139097744,True
ACIDUM ACETYLSALICYLICUM*,108286,2019-11-01,2020-04-01,6,58,0.79,2775160.1333333333,1691287.25,-0.39056228515053615,,,-1371990.9915611814,True
ACIDUM ACETYLSALICYLICUM*,108286,2020-06-01,2020-06-01,1,58,0.8133333333333334,1653398.3833333335,1450436.79,-0.12275419849156548,1940414.0899999999,-0.2525117203204806,-249542.94262295103,True
ACIDUM ACETYLSALICYLICUM*,328699,2021-12-01,2021-12-01,1,58,1.0433333333333332,2609248.8966666665,2055357.1900000002,-0.2122801344763494,2117933.47,-0.029545913923349074,-530886.6198083065,True
ACIDUM ACETYLSALICYLICUM*,328699,2022-02-01,2022-02-01,1,58,2.1666666666666665,2210416.9899999998,2637176.3800000004,0.1930673678001365,1561270.2500000002,0.6891222900071272,196965.8723076926,True
ACIDUM ACETYLSALICYLICUM*,328699,2022-04-01,2023-05-01,14,58,2.22,2281445.3266666667,1734787.8542857144,-0.2396101567683205,2312406.177142857,-0.24979103090393545,-246242.1046761046,True
ACIDUM ACETYLSALICYLICUM*,26073,2020-11-01,2021-09-01,11,58,7.1433333333333335,2971628.673333334,2378765.424545455,-0.19950785039466346,1944470.0827272728,0.22334894513216091,-82995.32180884914,True
ACIDUM ACETYLSALICYLICUM*,108285,2021-01-01,2021-02-01,2,58,2.83,2447421.0600000005,1629905.355,-0.33403149068268634,1622801.0549999997,0.0043778009498522796,-288874.8074204949,True
ACIDUM ACETYLSALICYLICUM*,88298,2019-04-01,2019-08-01,5,58,0.6166666666666667,1535030.01,2285496.272,0.48889354417246855,,,1216972.3167567565,True
ACIDUM ACETYLSALICYLICUM*,88298,2019-10-01,2020-09-01,12,58,1.4833333333333334,3106037.9933333336,1925636.4733333336,-0.3800344756031842,,,-795776.3056179775,True
ACIDUM ACETYLSALICYLICUM*,525119,2020-06-01,2020-06-01,1,58,0.25333333333333335,1653398.9433333334,1450436.79,-0.12275449561141709,1940414.9,-0.2525120323493702,-801166.394736842,True
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,108582,2019-07-01,2019-08-01,2,38,11.833333333333334,4405726.136666666,4774019.710000001,0.08359429567539639,,,31123.40056338043,True
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,108582,2020-01-01,2020-02-01,2,38,9.700000000000001,4558994.343333334,4485070.3950000005,-0.0162149682070637,4266162.904999999,0.05131250139169292,-7621.02560137456,True
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,130951,2022-06-01,2022-06-01,1,38,33.79666666666667,3031855.6099999994,2708785.72,-0.10655846833022475,4211821.94,-0.356861292194133,-9559.223493441144,True
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,583731,2022-01-01,2022-01-01,1,38,2.8533333333333335,3654117.8733333335,3863211.4700000007,0.05722136064426659,3865159.24,-0.0005039300786995655,73280.4661214955,True
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,583731,2022-05-01,2022-05-01,1,38,1.0866666666666667,3666188.34,2728751.4599999995,-0.25569796013262114,3872137.16,-0.2952854335356242,-862671.975460123,True
ACIDUM ALENDRONICUM,392597,2020-06-01,2020-10-01,5,3,7.8,3496.65,3891.2059999999997,0.1128382880757295,4642.231999999999,-0.1617812293741458,50.584102564102515,True
ACIDUM ALENDRONICUM,392598,2020-07-01,2020-12-01,6,3,4.16,3101.0933333333337,4057.646666666667,0.30845680233208067,4871.588333333333,-0.16707932012591367,229.9407051282051,True
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,505337,2019-10-01,2019-11-01,2,10,0.68,36257.15333333333,44034.03999999999,0.2144924780820263,,,11436.598039215683,True
