INN,events,sku_count,median_peer_uplift,positive_uplift_rate
ABIRATERONE,4,3,0.2771811600943731,0.5
ACECLOFENACUM,11,4,-0.050212365627607565,0.09090909090909091
ACETYLCYSTEINUM,32,12,-0.15968750803257134,0.375
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2,1,-0.2901542649727768,0.5
ACICLOVIRUM,16,7,-0.05696552745970404,0.4375
ACIDUM ACETYLSALICYLICUM*,15,7,-0.1292136278324053,0.3333333333333333
ACIDUM ACETYLSALICYLICUM*+COFFEINUM*+PARACETAMOLUM,5,3,-0.0162149682070637,0.4
ACIDUM ALENDRONICUM,2,2,0.21064754520390508,1.0
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,4,2,0.07185277654680455,0.5
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,4,1,0.076027314553888,0.75
ACIDUM AZELAICUM,2,2,-0.04573300523859661,0.5
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,4,2,-0.09253650516472975,0.25
ACIDUM BORICUM*,9,5,-0.09240734064292778,0.3333333333333333
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,2,2,-0.5195919689119171,0.0
ACIDUM CROMOGLICICUM,1,1,0.6111792366034912,1.0
ACIDUM FORMICUM*,1,1,-0.04920788927530416,0.0
ACIDUM FUSIDICUM,14,4,-0.12773453648743488,0.42857142857142855
ACIDUM GADOPENTETICUM,7,3,-0.9601769911504424,0.0
ACIDUM GADOTERICUM,1,1,-0.2848706558662138,0.0
ACIDUM HOPANTENICUM,1,1,-0.43430260208749666,0.0
ACIDUM IBANDRONICUM,16,7,0.14109927994977672,0.75
ACIDUM MEFENAMICUM,1,1,-0.38821495766739184,0.0
ACIDUM METHYLSILICICUM*,2,2,0.08777553746859962,1.0
ACIDUM MYCOPHENOLICUM,1,1,-0.43019715780539125,0.0
ACIDUM PAMIDRONICUM,9,3,-0.09122790389081092,0.4444444444444444
ACIDUM RISEDRONICUM,1,1,0.3841235528288817,1.0
ACIDUM RYBONUCLEINICUM*,3,1,2.450162470722868,0.6666666666666666
ACIDUM SALICYLICUM*,4,2,-0.09803747856982216,0.25
ACIDUM THIOCTICUM*,6,4,0.05751064235737596,0.8333333333333334
ACIDUM VALPROICUM,20,8,0.026983403705988625,0.7
ACORUS CALAMUS*&,6,2,0.031402544417083955,0.6666666666666666
ACORUS+ALTHAEA+SAMBUCUS+URTICA+MENTHA+CALENDULA+ARTEMISIA+MATRICARIA+GLYCYRRHIZA+SOPHORA+ACHILLEA+HELICHRY+SALVIA+ROSA*&,8,1,0.09781451496394589,0.625
ADALIMUMAB,11,4,-0.2994565439463899,0.45454545454545453
ADEMETIONINUM,6,3,0.05615123304921961,0.6666666666666666
ADONIS VERNALIS*&+ARNICA MONTANA/FOLIOSA NUTT./CHAMISSONIS LESS.*&+JUNIPERUS COMMUNIS*&+MENTHA PIPERITA,1,1,-0.26187062543882744,0.0
AERVA LANNATA*&,4,1,-0.06658205943512996,0.25
AESCINUM*,2,2,0.14072553323085532,0.5
AESCULUS HIPPOCASTANUM L.+THIAMINUM,2,2,-0.010452804940444343,0.5
ALBENDAZOLUM,1,1,0.21259261170289728,1.0
ALBUMINUM HUMANUM*,19,8,0.0087619226557614,0.631578947368421
ALCLOMETASONUM,1,1,-0.14804534008973216,0.0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+HUMULUS LUPULUS*&+MENTHA PIPERITA+MENTHOL SOLITION IN ISOVALERAT,2,1,0.07968618252506256,1.0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,12,5,0.006528961482876452,0.75
ALFACALCIDOLUM,6,2,-0.8815225722244039,0.16666666666666666
ALLANTOINUM*+DEXPANTHENOLUM,5,1,-0.468315825144019,0.2
ALLANTOINUM*+POVIDONUM,2,1,-0.08594511539558568,0.5
ALLIUM SATIVUM+CARBO ACTIVATUS MEDICINALIS*+CHOLE MEDICATA CONSERVATA*+URTICA DIOICA,2,1,-0.09793763149665095,0.5
ALNUS INCANA/GLUTINOSA*&,6,1,-0.10512516373718989,0.3333333333333333
ALOE ARBORESCENS MILL.*&,1,1,-0.2399947278920188,0.0
ALPROSTADILUM,4,3,0.25448926549891643,0.75
ALTHAEA OFFICINALIS*&,8,3,-0.3955928524709377,0.25
ALTHAEA OFFICINALIS*&+THYMUS SERPYLLUM*&,7,2,-0.047547134876481705,0.14285714285714285
ALUMINII HYDROXYDUM*+MAGNESII HYDROXIDE*,2,2,0.10553918834827442,1.0
ALUMINII HYDROXYDUM*+MAGNESII HYDROXIDE*+SIMETICONUM,4,2,-0.010269155050779612,0.5
ALVERINUM+SIMETICONUM,4,1,0.2481239667447901,0.75
AMBROXOLUM,17,12,-0.4888802423620553,0.29411764705882354
AMIKACINUM,10,3,0.02640448483510753,0.5
AMINOCAPRONIC ACID,2,2,-0.239878169566846,0.0
AMINOPHYLLINUM+KALII CHLORIDUM*+MAGNESII CHLORIDUM*,5,2,-0.31061821091397485,0.4
AMIODARONUM,11,2,0.04243557687411052,0.9090909090909091
AMLODIPINUM,23,9,-0.025552911265833294,0.43478260869565216
AMLODIPINUM+ATORVASTATINUM,2,1,0.14840878702298682,1.0
AMLODIPINUM+HYDROCHLOROTHIAZIDUM+OLMESARTANUM MEDOXOMILUM,1,1,1.836227909811091,1.0
AMLODIPINUM+HYDROCHLOROTHIAZIDUM+VALSARTANUM,2,2,0.21492114471068746,1.0
AMLODIPINUM+LISINOPRILUM,2,1,-0.1388013243064862,0.0
AMLODIPINUM+PERINDOPRILUM,1,1,0.13462105557007598,1.0
AMLODIPINUM+RAMIPRILUM,10,5,0.03993537674042327,0.7
AMLODIPINUM+TELMISARTANUM,2,2,0.18851976702635126,1.0
AMLODIPINUM+VALSARTANUM,21,10,0.047621987683014184,0.6190476190476191
AMMONIUM*,2,1,0.7215338507778073,0.5
AMOXICILLINUM,8,2,-0.04327040136728126,0.375
AMOXICILLINUM+ACIDUM CLAVULANICUM,24,11,-0.0377811404967653,0.4166666666666667
AMPICILLINUM+SULBACTAMUM,1,1,-0.06136609028195165,0.0
AMYLMETACRESOLUM+DICHLOROBENZYL ALCOHOL*,11,8,0.019020573959663816,0.6363636363636364
ANAGRELIDUM,3,1,0.5025273799494524,0.6666666666666666
ANASTROZOLUM,3,2,0.015730367631063686,0.6666666666666666
ANETHOLUM*+DICHLOROBENZYL ALCOHOL*+MENTHA PIPERITA+MENTHOLUM*,14,7,-0.22838601396645114,0.2857142857142857
ANTRAL*+LECITHIN*,7,2,-0.5297668402374714,0.42857142857142855
AQUA PRO INJECTIONIBUS*,1,1,-0.0809538108679882,0.0
ARALIA MANDSHURICA RUPP. ET MAXIM*&,2,1,0.1693128004322652,1.0
ARGININUM ASPARTATUM*,4,1,0.07183095592243773,0.5
ARIPIPRAZOLUM,7,6,0.06523123521520181,0.7142857142857143
ARTICAINUM+EPINEPHRINUM,26,8,0.04295918395774764,0.6538461538461539
ASCORBIC ACID,17,9,-0.19205978369528898,0.17647058823529413
ASCORBIC ACID+MALVA SYLVESTRIS+PLANTAGO (SEMENI PSYLLIUM),2,1,-0.10666183004713502,0.0
ASPARAGINAT K-MG*,4,3,0.00041379201319266187,0.5
ATOMOXETINUM,17,6,-0.04625139873181669,0.47058823529411764
ATORVASTATINUM,32,16,0.005735589864339961,0.53125
ATOSIBANUM,20,3,-0.86,0.25
ATRACURII BESILAS,27,6,0.0005033288338783435,0.5185185185185185
ATROPA BELLADONNA*&+NATRII HYDROCARBONAS*,2,1,-0.004667877611362843,0.5
AVISAN*+EQUISETUM ARVENSE*&+HYPERICUM PERFORATUM*&+POLYGONUM AVICULARE*&,1,1,0.03940623281923657,1.0
AXITINIB,2,1,-0.377202510979788,0.0
AZITHROMYCINUM,36,15,0.014931078748697214,0.5277777777777778
AZOXIMERI BROMIDUM,2,2,-0.626197589368497,0.0
BACITRACINUM+NEOMYCINUM,3,3,-0.032172962968723344,0.0
BEMIPARINUM NATRICUM,15,5,-0.5952380952380953,0.3333333333333333
BENDAMUSTINE,30,7,-0.44402379650602725,0.36666666666666664
BENDAZOLUM,4,3,-0.22452035507713936,0.25
BENFOTIAMINUM,1,1,-0.871325366895361,0.0
BENZALKONII CHLORIDUM,9,6,-0.0784281030542699,0.3333333333333333
BENZOCAINUM,4,1,0.06461273657326397,0.75
BENZOCAINUM+LEVOMENTHOLUM+PROCAINUM,1,1,0.09849533008100061,1.0
BENZOCAINUM+MENTHOLUM*+PROCAINUM,3,2,-0.3533161441700888,0.3333333333333333
BENZOYLI PEROXIDUM*+CLINDAMYCINUM,1,1,-0.7800672655285453,0.0
BENZYDAMINUM,2,2,-0.5171278685814078,0.0
BENZYLII BENZOAS*,5,1,0.05854146882078444,0.6
BETAHISTINE,34,9,0.02616175886404589,0.6470588235294118
BETAMETHASONUM,5,3,0.0026047898914166555,0.6
BETULA PUBESCENS EHRH.*&,2,1,-0.43327774074902964,0.0
BICALUTAMIDUM,14,3,0.04507679936674361,0.7142857142857143
BIDENS TRIPARTITES*&,5,3,-0.05769333934508532,0.2
BIDENS TRIPARTITES+CALENDULA+EUCALYPTUS VIMINALIS+GLYCYRRHIZA GLABRA/URALENSIS+MATRICARIA CHAMOMILLA+SALVIA,7,3,-0.20346127118191054,0.2857142857142857
BIPERIDENUM,3,1,0.22074520332656655,0.6666666666666666
BISACODYLUM,4,2,-0.009792798569240532,0.5
BISMUTHI SUBCITRAS*,4,1,0.16015590487887044,0.75
BISOPROLOLUM,29,16,0.020162667380056766,0.5862068965517241
BORTEZOMIBUM,33,6,-0.48888888888888893,0.42424242424242425
BOTULINUM TOXIN,11,4,2.291208791208791,1.0
BRIMONIDINUM,2,2,0.07341262497424403,1.0
BRINZOLAMIDUM,1,1,0.07638134498552504,1.0
BROMELAINA+RUTOSIDUM+TRYPSINUM*,6,3,-0.43818801144877817,0.3333333333333333
BROMHEXINE,11,3,-0.39541740342420145,0.18181818181818182
BROMHEXINE+GUAIFENESINUM+MENTHOLUM*+SALBUTAMOLUM,3,2,0.2924285700450529,0.6666666666666666
BUDESONIDUM,3,2,0.19467705235132687,0.6666666666666666
BUPIVACAINUM,13,6,0.04417893713752869,0.6153846153846154
BUPRENORPHINUM,4,3,-0.3260756932359701,0.25
BUTAMIRATUM,2,2,-0.4795961171225647,0.0
BUTAMIRATUM+GUAIFENESINUM,2,1,0.5292841475532358,1.0
CABERGOLINUM,1,1,0.0030876268915017097,1.0
CABOZANTINIBUM,1,1,-0.4461538461538461,0.0
CALCII CARBONAS*+COLECALCIFEROLUM,8,3,-0.08285239950693118,0.375
CALCII CARBONAS*+MAGNESII CARBONAS,9,3,0.011044435633278473,0.5555555555555556
CALCII CHLORIDUM*+CITICOLINUM+KALII CHLORIDUM*+NATRII CHLORIDUM*+NATRII LACTAS*,4,1,-0.04796147276282706,0.5
