INN,SKU_A,SKU_B,diff_log_correlation,same_form,strength_A,strength_B
ABIRATERONE,661031,598784,-0.2235592781919691,True,500.0,500.0
ABIRATERONE,661031,598839,-0.25749752091343675,True,500.0,250.0
ABROCITINIBUM,870093,870092,-0.2115617154957963,True,100.0,200.0
ACECLOFENACUM,171297,171298,-0.22305675716526788,True,100.0,100.0
ACECLOFENACUM,735034,153387,-0.23859012895616888,False,100.0,100.0
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,45719,45718,-0.26065402123691606,True,,
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,49953,13798,-0.24516584691995288,True,,
ACIDUM ACETYLSALICYLICUM*+VITAMIN C,62918,62917,-0.2396309465184556,True,,
ACIDUM ADENOSINTRIPHOSPHORICUM*,169175,74808,-0.7171606319458853,False,,10.0
ACIDUM ADENOSINTRIPHOSPHORICUM*,74812,41365,-0.31572383452024766,True,20.0,20.0
ACIDUM ALENDRONICUM,392597,392598,-0.2231338467229925,True,10.0,70.0
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,174173,389662,-0.21137829702210986,True,,
ACIDUM AZELAICUM,77260,100126,-0.31751712991451425,True,,
ACIDUM AZELAICUM,79643,100126,-0.3110123273966444,True,,
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,111557,111559,-0.344977580076997,True,,
ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,149306,150761,-0.22780803404963987,True,,
ACIDUM CROMOGLICICUM,145692,62640,-0.2412989996963306,False,,
ACIDUM FUSIDICUM,313636,129887,-0.27824382968057665,False,,
ACIDUM FUSIDICUM,313636,136024,-0.24922546355542294,False,,
ACIDUM FUSIDICUM,75402,75401,-0.2058375534476543,True,,
ACIDUM HOPANTENICUM,389686,188123,-0.44904334988520006,True,250.0,250.0
ACIDUM IBANDRONICUM,697697,402567,-0.4690863224288236,True,50.0,50.0
ACIDUM PAMIDRONICUM,82836,75707,-0.374074006676345,True,90.0,
ACIDUM PAMIDRONICUM,75709,75707,-0.21574316292403092,True,,
ACIDUM RISEDRONICUM,92275,190527,-0.40247891103107003,True,35.0,35.0
ACIDUM RYBONUCLEINICUM*,110667,580579,-0.5324048404604554,True,250.0,250.0
ACIDUM RYBONUCLEINICUM*,117696,580579,-0.8046158327782372,True,250.0,250.0
ACIDUM TIAZOTICUM+PIRACETAMUM,95135,95134,-0.5285821026559289,True,,
ACORUS CALAMUS*&,9770,84661,-0.36043184532428724,True,,
ACORUS CALAMUS*&,9770,68649,-0.21100869883370357,True,,
ADALIMUMAB,128339,128337,-0.2967157196820184,True,,
ADAPALENUM+CLINDAMYCINUM,118531,328124,-0.35048233012931473,True,,
AESCINUM*,130293,546637,-0.2689881019657807,False,,50.0
ALBENDAZOLUM,190310,-190310,-0.4751755546451277,True,400.0,400.0
ALBUMINUM HUMANUM*,308543,790752,-0.2548720406517276,True,,
ALBUMINUM HUMANUM*,790752,667862,-0.22520568029395638,True,,
ALBUMINUM HUMANUM*,790749,667862,-0.2357565516182931,True,,
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,178877,7671,-0.4118600983908589,False,,
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,178878,7671,-0.44566940132255184,False,,
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,178878,343005,-0.2018246147017591,False,,
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,7671,191526,-0.47032860225886086,True,,
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,343006,191526,-0.21454806598515508,True,,
ALLANTOINUM*+POVIDONUM,176113,545635,-0.21096566934169972,True,,
ALLIUM SATIVUM+CARBO ACTIVATUS MEDICINALIS*+CHOLE MEDICATA CONSERVATA*+URTICA DIOICA,7097,271306,-0.924753787648477,True,,
ALLIUM SATIVUM+CARBO ACTIVATUS MEDICINALIS*+CHOLE MEDICATA CONSERVATA*+URTICA DIOICA,7096,271306,-0.9248785950527866,True,,
ALVERINUM+SIMETICONUM,18271,258501,-0.4078254830413568,True,,
AMBROXOLUM+CARBOCISTEINUM,72061,159878,-0.9227720044606654,True,,
AMINOCAPRONIC ACID,297678,83882,-0.227254762005307,True,,
AMINOPHYLLINUM,82487,7209,-0.3884633706203748,True,100.0,300.0
AMINOPHYLLINUM,7209,82485,-0.49985994509513704,True,300.0,300.0
AMIODARONUM,167783,546285,-0.3003539981996032,True,200.0,200.0
AMISULPRIDUM,126545,126544,-0.3716472653964972,True,200.0,200.0
AMISULPRIDUM,126545,126542,-0.38444255223490886,True,200.0,100.0
AMITRIPTYLINE,54808,179809,-0.30625545779258506,True,25.0,25.0
AMLODIPINUM,125394,412509,-0.35594409953485384,True,10.0,10.0
AMLODIPINUM+INDAPAMIDUM+PERINDOPRILUM,372217,372133,-0.43080300201779337,True,,
AMLODIPINUM+INDAPAMIDUM+PERINDOPRILUM,372197,372157,-0.41617076360757094,True,,
AMLODIPINUM+INDAPAMIDUM+PERINDOPRILUM,372157,372133,-0.5872179204365444,True,,
AMLODIPINUM+VALSARTANUM,326747,175954,-0.20543277714005806,True,,
AMOROLFINUM,292105,471583,-0.33037104072752754,True,,
AMOROLFINUM,292105,360739,-0.2496871865623719,True,,
ANASTROZOLUM,378658,174270,-0.21367080495122093,True,1.0,1.0
ANETHOLUM*+DICHLOROBENZYL ALCOHOL*+MENTHA PIPERITA+MENTHOLUM*,111920,111918,-0.44243507423914974,True,,
ANETHOLUM*+DICHLOROBENZYL ALCOHOL*+MENTHA PIPERITA+MENTHOLUM*,111916,54163,-0.2166966530959464,True,,
ANETHUM GRAVEOLENS*&,-69847,13443,-0.2153874390559441,True,,
APROTININUM,136803,136802,-0.6153768297351121,True,,
ARTEMISIA ABSINTHIUM+ATROPA BELLADONNA+MENTHA PIPERITA+VALERIANA,112590,112591,-0.24838359991076622,True,,
ARTICAINUM+EPINEPHRINUM,70073,140732,-0.36012159535257166,True,,
ARTICAINUM+EPINEPHRINUM,70073,63503,-0.28322836417080227,True,,
ATENOLOLUM+CHLORTALIDONUM,451141,38553,-0.3705049099412173,True,,
ATOMOXETINUM,105524,105525,-0.20268298790110117,True,10.0,18.0
AVISAN*+EQUISETUM ARVENSE*&+HYPERICUM PERFORATUM*&+POLYGONUM AVICULARE*&,164893,164894,-0.2206283056017359,True,,
AZOXIMERI BROMIDUM,75711,109984,-0.2837664597167811,False,6.0,12.0
BENDAMUSTINE,153393,442160,-0.37795118779444464,True,100.0,25.0
BENDAZOLUM+METAMIZOLUM NATRICUM+PAPAVERINUM*,134962,112233,-0.7014977632352756,True,,
BENZOCAINUM+CHLORHEXIDINUM+ENOXOLONUM,115547,115548,-0.23937424524641462,True,,
BENZOCAINUM+LEVOMENTHOLUM+PROCAINUM,221386,94633,-0.21326070231631042,True,,
BENZOCAINUM+LEVOMENTHOLUM+PROCAINUM,221386,111869,-0.294132316815003,True,,
BENZOCAINUM+MENTHOLUM*+PROCAINUM,519424,7199,-0.23231073767191615,True,,
BENZOCAINUM+MENTHOLUM*+PROCAINUM,39107,900690,-0.23992260075248492,True,,
BETAMETHASONUM,703346,305457,-0.28578885615853183,True,,
BETAMETHASONUM+CALCIPOTRIOLUM,878580,95429,-0.2453754215883504,True,,
BETAMETHASONUM+CALCIPOTRIOLUM,683160,95429,-0.27202156509500613,True,,
BETAMETHASONUM+CLOTRIMAZOLUM+GENTAMICINUM,154646,9236,-0.36956886102179953,True,,
BICALUTAMIDUM,105599,342963,-0.28451166676864403,True,150.0,150.0
BIDENS TRIPARTITES*&,-49582,-110790,-0.25255963280324,True,,
BIDENS TRIPARTITES+CALENDULA+EUCALYPTUS VIMINALIS+GLYCYRRHIZA GLABRA/URALENSIS+MATRICARIA CHAMOMILLA+SALVIA,316596,316595,-0.6122985841484271,True,,
BIDENS TRIPARTITES+CALENDULA+EUCALYPTUS VIMINALIS+GLYCYRRHIZA GLABRA/URALENSIS+MATRICARIA CHAMOMILLA+SALVIA,316594,316595,-0.40584767345292716,True,,
BIFONAZOLUM,165428,165429,-0.9952321675396619,True,,
BISACODYLUM,3496,40427,-0.23386792692530697,True,5.0,5.0
BISMUTHI SUBCITRAS*,35768,25878,-0.306540200000479,True,120.0,120.0
BORTEZOMIBUM,502464,502484,-0.3915051990692848,True,3.5,3.5
BORTEZOMIBUM,502464,360311,-0.25963127313686346,True,3.5,3.5
BORTEZOMIBUM,502484,360311,-0.32192884692515844,True,3.5,3.5
BRIMONIDINUM,653762,501643,-0.23330187347842346,True,,
BRIMONIDINUM,653762,127337,-0.4670148673918134,True,,
BRIMONIDINUM,501643,706326,-0.3169188972657198,True,,
BRIMONIDINUM,501643,868058,-0.3602525274618243,True,,
BRIMONIDINUM,127337,706326,-0.32639010508986777,True,,
BRIMONIDINUM,127337,868058,-0.46943614080503465,True,,
BUDESONIDUM+FORMOTEROLUM,765617,88725,-0.22410949637259922,True,,
BUPRENORPHINUM,129271,129275,-0.29601532342363485,True,0.2,2.0
CALAMAGROSTIS EPIGEIOS*+DESCHAMPSIA CAESPITOSA*,34977,495111,-0.8887440764607892,True,,
CALAMAGROSTIS EPIGEIOS*+DESCHAMPSIA CAESPITOSA*,34977,495110,-0.9618053500750972,True,,
CALAMAGROSTIS EPIGEIOS*+DESCHAMPSIA CAESPITOSA*,34977,547023,-0.2704921009177982,True,,
CALAMAGROSTIS EPIGEIOS*+DESCHAMPSIA CAESPITOSA*,34977,547021,-0.23865805179118443,True,,
CALAMAGROSTIS EPIGEIOS*+DESCHAMPSIA CAESPITOSA*,34976,495111,-0.8884544519081408,True,,
CALAMAGROSTIS EPIGEIOS*+DESCHAMPSIA CAESPITOSA*,34976,495110,-0.9615014082238662,True,,
CALAMAGROSTIS EPIGEIOS*+DESCHAMPSIA CAESPITOSA*,34976,547023,-0.27437190766144165,True,,
CALAMAGROSTIS EPIGEIOS*+DESCHAMPSIA CAESPITOSA*,34976,547021,-0.2436274725081366,True,,
CALCII CHLORIDUM*+HYDROXYETHYLAMYLUM*+KALII CHLORIDUM*+MAGNESII CHLORIDUM*+NATRII CHLORIDUM*+NATRII LACTAS*+XYLITOLUM*,233758,233755,-0.23784411997675783,True,,
CALCII FOLINAS,783313,362304,-0.33305166100639966,True,200.0,100.0
CALCII FOLINAS,330902,448224,-0.2297387959830771,True,,500.0
CALENDULA OFFICINALIS*&,112091,442798,-0.25589645907253533,False,,
