check,passed,detail
All 825720 source observations retained,True,
Long panel sum and row count,True,
Annual totals independent reconciliation,True,
Dose normalization mg mcg g,True,
Concentration not treated as per-unit dose,True,
Container mass not treated as active strength,True,
All-zero pattern distinct,True,
Growth decomposition identity,True,1.164153218269348e-09
Anchor feature MEROPENEMUM 21,True,
Anchor feature VITAMIN C+PARACETAMOLUM+PHENIRAMINUM 52,True,
Anchor feature HEDERA HELIX*& 20,True,
Anchor feature DORZOLAMIDUM 36,True,
Anchor feature DESOGESTRELUM+ETHINYLESTRADIOLUM 39,True,
Anchor feature COLECALCIFEROLUM 37,True,
Anchor feature LEVOCETIRIZINUM 28,True,
Anchor feature INTERFERONUM BETA 30,True,
Anchor feature NALTREXONUM 39,True,
Anchor feature PEFLOXACINUM 16,True,
Anchor feature CRATAEGUS L.*&+HERBA MELISSAE+HUMULUS LUPULUS*& 23,True,
Anchor feature ALLIUM SATIVUM+CARBO ACTIVATUS MEDICINALIS*+CHOLE MEDICATA CONSERVATA*+URTICA DIOICA 29,True,
Anchor feature OLODATEROL+TIOTROPIUM BROMIDE 19,True,
Anchor feature SODIUM DIHYDROPHOSPHAS+SODIUM HYDROPHOSPHAS 14,True,
Anchor feature CHLORZOXAZONE+DICLOFENACUM+PARACETAMOLUM 42,True,
Anchor feature ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*& 37,True,
Anchor feature ENTECAVIRUM 21,True,
Anchor feature EUCALYPTUS VIMINALIS*&+MENTHOLUM*+METHYL SALICYLAT*+PINUS SILVESTRIS*& 36,True,
Anchor feature CLOMIFENUM 48,True,
Anchor feature ILOPROSTUM 44,True,
Anchor feature ENALAPRILATUM 38,True,
Anchor feature METOCLOPRAMIDUM 43,True,
Anchor feature HERBA MELISSAE+PASSIFLORA INCARNATA*+VALERIANA OFFICINALIS*& 39,True,
Anchor feature VIRIDE NITENS* 35,True,
Anchor feature ENTECAVIRUM 49,True,
Anchor feature CYNARA SCOLYMUS*& 26,True,
Anchor feature IRINOTECAN 16,True,
Anchor feature MEMANTINE 13,True,
Anchor feature LEVOMEPROMAZINUM 35,True,
Anchor feature CERULOPLASMINUM* 45,True,
Anchor feature SELEGILINUM 31,True,
Anchor feature CYANOCOBALAMINUM+OCTOTIAMINUM+PYRIDOXINUM+RIBOFLAVINUM 25,True,
Anchor feature CYPROTERONUM+ESTRADIOLI VALERAS 53,True,
Anchor feature INSULINUM ASPARTUM+INSULINUM DEGLUDECUM 23,True,
Anchor feature ACIDUM TIAZOTICUM+CRATAEGUS L.*&+DIPYRIDAMOLUM+HERBA MELISSAE 53,True,
Anchor feature FLUOCINOLONI ACETONIDUM+NEOMYCINUM 31,True,
Anchor feature METFORMINUM+SITAGLIPTINUM 27,True,
Anchor feature EUCALYPTUS VIMINALIS*&+PINUS SILVESTRIS*& 21,True,
Anchor feature ZOLEDRONIC ACID 47,True,
Anchor feature DUTASTERIDUM+TAMSULOSINUM 27,True,
Anchor feature EUCALYPTUS VIMINALIS*&+MENTHA PIPERITA+SALVIA OFFICINALIS*&+SULFANILAMIDUM+SULFATHIAZOLUM+THYMOL 45,True,
Anchor feature EUCALYPTUS VIMINALIS+MENTHA PIPERITA+SULFANILAMIDUM+SULFATHIAZOLUM+THYMOL 25,True,
Anchor feature NATRII HYDROCARBONAS+GLYCYRRHIZA GLABRA/URALENSIS*&+THERMOPSIS LANCEOLATA*&+CODEINUM 15,True,
Anchor feature LIDOCAINUM+PHENAZONUM 40,True,
Anchor feature CAMPHORA*+CHLOROBUTANOLUM+EUCALYPTUS VIMINALIS*&+LEVOMENTHOLUM 48,True,
Anchor feature ALTHAEA OFFICINALIS*&+ORIGANUM VULGARE*&+TUSSILAGO FARFARA*& 21,True,
Anchor feature ESTRADIOLI VALERAS 21,True,
Anchor feature PHOSPHOLIPIDES* 38,True,
Anchor feature BIFONAZOLUM 31,True,
Anchor feature TIOTROPIUM BROMIDE 13,True,
Anchor feature ALVERINUM+SIMETICONUM 16,True,
Anchor feature NIMESULIDUM+TIZANIDINUM 33,True,
Anchor feature CODEINUM*+IBUPROFENUM 32,True,
Anchor feature AZILSARTANUM MEDOXOMILUM+CHLORTALIDONUM 38,True,
Anchor feature SULBUTIAMINUM 21,True,
Anchor feature INULA HELENIUM*& 23,True,
Anchor feature FORMOTEROLUM 35,True,
Anchor feature MOLSIDOMINUM 28,True,
Anchor feature BISACODYLUM 27,True,
Anchor feature FOLLITROPINUM ALFA 31,True,
Anchor feature PRAMIPEXOLUM 21,True,
Anchor feature AMLODIPINUM 29,True,
Anchor feature CARBOPLATINUM 15,True,
Anchor feature LEVOCETIRIZINUM+PARACETAMOLUM+PHENYLEPHRINUM 12,True,
Anchor feature TERAZOSINUM 38,True,
Anchor feature TAMOXIFENUM 46,True,
Anchor feature ACIDUM SALICYLICUM*+CLOTRIMAZOLUM 53,True,
Anchor feature CENTAURIUM VULG. RAF./PULCHELLUM (SWARTZ) DRUCE*&+LEVISTICUM OFFICINALE&+ROSMARINUS OFFICINALIS*& 32,True,
Anchor feature FEXOFENADINUM 26,True,
Anchor feature AMBROXOLUM+CARBOCISTEINUM 23,True,
Anchor feature IRBESARTANUM 19,True,
Anchor feature METAMIZOLUM NATRICUM+TEMPIDONUM 43,True,
Anchor feature IDARUBICINUM 12,True,
Anchor feature CYTOCHROMUM C* 27,True,
Anchor feature EUCALYPTUS VIMINALIS+MENTHA PIPERITA+SULFANILAMIDUM+SULFATHIAZOLUM+THYMOL 20,True,
Anchor feature ACIDUM FUSIDICUM+BETAMETHASONUM 16,True,
Anchor feature ACIDUM SALICYLICUM*+FLUOROURACILUM 42,True,
Anchor feature NIFURATELUM 48,True,
Anchor feature PERMETHRINUM 50,True,
Anchor feature BICLOTYMOLUM+ENOXOLONUM+MURAMIDASE 50,True,
Anchor feature CRATAEGUS L.*&+HERBA MELISSAE+HUMULUS LUPULUS*& 28,True,
Anchor feature MATRICARIA CHAMOMILLA*&+SPIRITUS AETHYLICUS* 44,True,
Anchor feature CHLORQUINALDOLUM 26,True,
Anchor feature RICINUS COMMUNIS*& 20,True,
Anchor feature DISODIUM FOSFAS*+SODIUM DIHYDROPHOSPHAS 34,True,
Anchor feature PALIPERIDONUM 36,True,
Anchor feature FENSPIRIDUM 18,True,
Anchor feature NEBIVOLOLUM 25,True,
Anchor feature CEFTAZIDIMUM 19,True,
Anchor feature MATRICARIA CHAMOMILLA*&+SPIRITUS AETHYLICUS* 35,True,
Anchor feature OTILONII BROMIDUM 42,True,
Anchor feature MIANSERINUM 17,True,
Anchor feature CRATAEGUS L.*& 43,True,
Anchor feature ENISAMIUM IODIDE 16,True,
Anchor feature ACORUS CALAMUS*& 52,True,
Anchor feature ACIDUM ACETYLSALICYLICUM*+CLOPIDOGRELUM 20,True,
Anchor feature KALII CHLORIDUM*+MACROGOLUM+NATRII CHLORIDUM*+NATRII HYDROCARBONAS*+NATRII SULFAS* 16,True,
